"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"68","1","pilihan_ganda","practice","Bangun yang termasuk segi banyak adalah ...","","","","C","","","lingkaran","setengah lingkaran","segitiga","kurva terbuka","","","","","","",""
"68","2","essay","practice","Jelaskan definisi segi banyak dengan kalimat sederhana.","","","","kurva tertutup yang dibatasi minimal tiga ruas garis lurus","","","","","","","","","","","","",""
"68","3","multipart","practice","Lengkapi banyak sisi dan sudut.","","","","","","","","","","","","","","","","","a|Segitiga: sisi|3;b|Segiempat: sudut|4;c|Segilima: sisi|5"
"68","4","pilihan_ganda","practice","Segi banyak beraturan memiliki ...","","","","B","","","sisi sama, sudut beda","semua sisi sama dan semua sudut sama","sudut sama, sisi beda","minimal satu sudut siku-siku","","","","","","",""
"68","5","essay","practice","Berikan dua contoh segi banyak tak beraturan.","","","","contoh: segilima tak beraturan dan segiempat sembarang","","","","","","","","","","","","",""
"68","6","multipart","practice","Gunakan gambar segitiga pada ilustrasi.","","","/images/kelas4-bangun-datar/k4bd-q6-triangle-set.png","","","","","","","","","","","","","","a|Segitiga A berdasarkan sisi|sama kaki;b|Segitiga B berdasarkan sudut|siku-siku;c|Segitiga C berdasarkan sudut|tumpul"
"68","7","pilihan_ganda","practice","Segitiga yang semua sisinya sama panjang disebut ...","","","","A","","","segitiga sama sisi","segitiga sama kaki","segitiga tumpul","segitiga sembarang","","","","","","",""
"68","8","essay","practice","Apa perbedaan utama segitiga sama kaki dan segitiga sembarang?","","","","sama kaki punya 2 sisi sama panjang, sembarang tidak ada sisi yang sama","","","","","","","","","","","","",""
"68","9","pilihan_ganda","practice","Segitiga yang memiliki tepat satu sudut siku-siku adalah ...","","","","D","","","segitiga lancip","segitiga tumpul","segitiga sama sisi","segitiga siku-siku","","","","","","",""
"68","10","multipart","practice","Klasifikasikan segitiga berikut.","","","","","","","","","","","","","","","","","a|3 sudut lancip|segitiga lancip;b|1 sudut tumpul|segitiga tumpul;c|1 sudut siku-siku|segitiga siku-siku"
