"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"65","1","pilihan_ganda","practice","Manakah yang lebih besar antara 1/3 dan 1/5?","","","","A","","","1/3","1/5","Sama besar","Tidak bisa dibandingkan","","","","","","",""
"65","2","essay","practice","Jelaskan alasan mengapa 1/2 lebih besar dari 1/4 dengan kalimat sendiri.","","","","karena satu benda dibagi 2 menghasilkan bagian lebih besar daripada dibagi 4","","","","","","","","","","","","",""
"65","3","multipart","practice","Bandingkan pecahan pembilang satu berikut.","","","","","","","","","","","","","","","","","a|1/8 ... 1/10|>;b|1/11 ... 1/5|<;c|1/7 ... 1/7|="
"65","4","pilihan_ganda","practice","Jika pembilang sama-sama 1, maka pecahan yang penyebutnya lebih kecil akan bernilai ...","","","","B","","","lebih kecil","lebih besar","sama","acak","","","","","","",""
"65","5","essay","practice","Urutkan dari terkecil ke terbesar: 1/6, 1/2, 1/4, 1/8.","","","","1/8, 1/6, 1/4, 1/2","","","","","","","","","","","","",""
"65","6","pilihan_ganda","practice","Dari gambar, pecahan yang diarsir adalah ...","","","/images/kelas4-pecahan/k4p-q6-bar-3of10.png","C","","","1/10","2/10","3/10","4/10","","","","","","",""
"65","7","multipart","practice","Bandingkan pecahan berpenyebut sama.","","","","","","","","","","","","","","","","","a|3/5 ... 4/5|<;b|7/9 ... 5/9|>;c|2/8 ... 2/8|="
"65","8","pilihan_ganda","practice","Mana yang paling besar?","","","","D","","","2/7","3/7","5/7","6/7","","","","","","",""
"65","9","essay","practice","Urutkan dari terbesar ke terkecil: 2/6, 5/6, 1/6, 4/6.","","","","5/6, 4/6, 2/6, 1/6","","","","","","","","","","","","",""
"65","10","pilihan_ganda","practice","Pecahan mana yang nilainya paling kecil?","","","","A","","","1/9","3/9","5/9","7/9","","","","","","",""
"65","11","essay","practice","Tulis dua pecahan senilai dari 1/2.","","","","2/4 dan 3/6","","","","","","","","","","","","",""
"65","12","multipart","practice","Lengkapi pecahan senilai berikut.","","","","","","","","","","","","","","","","","a|1/3 = .../6|2/6;b|2/5 = .../10|4/10;c|6/8 = .../4|3/4"
"65","13","pilihan_ganda","practice","Pecahan senilai dengan 3/4 adalah ...","","","","C","","","6/10","9/16","6/8","12/20","","","","","","",""
"65","14","essay","practice","Dari gambar, jelaskan kenapa 2/6 senilai dengan 1/3.","","","/images/kelas4-pecahan/k4p-q14-bar-2of6.png","karena bagian diarsir mewakili luas yang sama, 2/6 disederhanakan menjadi 1/3","","","","","","","","","","","","",""
"65","15","pilihan_ganda","practice","Jika pembilang dan penyebut dibagi bilangan yang sama, maka nilai pecahan akan ...","","","","B","","","berubah","tetap","menjadi nol","selalu membesar","","","","","","",""
