material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
65,1,essay,practice,Bandingkan 1/3 dan 1/5. Mana yang lebih besar? Jelaskan singkat.,,,,1/3 lebih besar,,,,,,,,,,,,,
65,2,mcq,practice,Pecahan senilai dengan 2/4 adalah...,,,,B,,,1/4,1/2,3/4,4/8,,,,,,,
65,3,essay,practice,Urutan dari terbesar ke terkecil adalah...,,,,"1/4, 1/6, 1/8",,,,,,,,,,,,,
65,4,mcq,practice,Pecahan yang lebih besar adalah...,,,,D,,,1/9,1/10,1/12,1/8,,,,,,,
65,5,essay,practice,"Dari angka 1 sampai 6, buat pecahan berpenyebut sama yang nilainya paling besar dan paling kecil (pembilang berbeda). Tulis dua pecahan.",,,,6/6 dan 1/6,,,,,,,,,,,,,
65,6,mcq,practice,Desimal 0.25 setara dengan pecahan...,,,,C,,,2/5,1/3,1/4,3/8,,,,,,,
65,7,essay,practice,Mana yang lebih besar: 3/8 atau 5/8? Jelaskan singkat.,,,,5/8,,,,,,,,,,,,,
65,8,mcq,practice,Pecahan yang paling besar nilainya adalah...,,,,B,,,3/8,5/12,1/2,7/16,,,,,,,
65,9,essay,practice,Tuliskan dua pecahan senilai dengan 3/5.,,,,6/10 dan 9/15,,,,,,,,,,,,,
65,10,mcq,practice,Nilai 0.6 sama dengan...,,,,A,,,6/10,6/100,3/5,60/100,,,,,,,
65,11,essay,practice,Sebuah kue dibagi 6 sama besar. Dimas makan 2 bagian. Berapa pecahan kue yang dimakan?,,,,2/6,,,,,,,,,,,,,
65,12,mcq,practice,Pecahan yang sama nilainya dengan 0.4 adalah...,,,,D,,,1/5,2/5,4/100,2/5,,,,,,,
65,13,essay,practice,Urutan pecahan berpenyebut sama dari kecil ke besar adalah...,,,,"1/9, 4/9, 7/9",,,,,,,,,,,,,
