"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"69","1","pilihan_ganda","practice","Piktogram adalah ...","","","","A","","","diagram yang menggunakan gambar/simbol","diagram lingkaran","daftar acak","grafik garis","","","","","","",""
"69","2","essay","practice","Jelaskan mengapa legenda/skala wajib dibaca sebelum menafsirkan piktogram.","","","","karena 1 simbol bisa mewakili lebih dari 1 data sehingga jumlah nyata bisa berbeda","","","","","","","","","","","","",""
"69","3","multipart","practice","Lengkapi komponen penting penyajian data.","","","","","","","","","","","","","","","","","a|Piktogram menampilkan data dengan|gambar/simbol;b|Diagram batang menampilkan data dengan|batang persegi panjang;c|Sebelum membaca diagram, cek|judul dan skala"
"69","4","pilihan_ganda","practice","Berdasarkan piktogram pada gambar, mainan terbanyak adalah ...","","","/images/kelas4-piktogram-diagram/k4pd-q4-picto-mainan.png","D","","","Mobil","Robot","Puzzle","Kelereng","","","","","","",""
"69","5","essay","practice","Dari piktogram mainan pada nomor 4, berapa total semua mainan?","","","","20","","","","","","","","","","","","",""
"69","6","pilihan_ganda","practice","Jika 1 gambar mewakili 3 buku dan ada 6 gambar, banyak buku adalah ...","","","","B","","","12","18","24","9","","","","","","",""
"69","7","essay","practice","Buat piktogram sederhana dari data: Pensil 4, Penghapus 2, Penggaris 3 (1 gambar = 1 benda).","","","","piktogram sesuai data","","","","","","","","","","","","",""
"69","8","multipart","practice","Data siswa: A=12, B=8, C=10, D=6. (1 gambar = 2 siswa).","","","","","","","","","","","","","","","","","a|Jumlah gambar kelas A|6;b|Jumlah gambar kelas D|3;c|Kelas terbanyak|A"
"69","9","pilihan_ganda","practice","Jika pada piktogram ada 5 simbol dan 1 simbol = 4 siswa, maka jumlah siswa ...","","","","C","","","16","18","20","24","","","","","","",""
"69","10","essay","practice","Mengapa pada piktogram berskala 1 gambar=4, jumlah gambar 3 tidak boleh dibaca 3 siswa?","","","","karena tiap gambar bernilai 4 siswa jadi total 12 siswa","","","","","","","","","","","","",""
"69","11","pilihan_ganda","practice","Bentuk penyajian data yang paling cocok untuk membandingkan banyak kategori secara cepat adalah ...","","","","D","","","paragraf panjang","narasi cerita","gambar bebas","diagram batang","","","","","","",""
"69","12","multipart","practice","Gunakan piktogram berskala pada gambar.","","","/images/kelas4-piktogram-diagram/k4pd-q12-picto-skala.png","","","","","","","","","","","","","","a|Jumlah siswa kelas A|12;b|Jumlah siswa kelas D|6;c|Total siswa empat kelas|36"
"69","13","essay","practice","Dari data kelas A=12, B=8, C=10, D=6, tentukan kelas terbanyak dan tersedikit.","","","","terbanyak A, tersedikit D","","","","","","","","","","","","",""
"69","14","pilihan_ganda","practice","Diagram batang tegak dibaca terutama dari ...","","","","A","","","tinggi batang","lebar batang","warna batang","judul saja","","","","","","",""
"69","15","essay","practice","Diagram batang mendatar dibaca terutama dari bagian apa?","","","","panjang/lebar batang mendatar","","","","","","","","","","","","",""
"69","16","multipart","practice","Interpretasi data lomba: Matematika 6, IPA 8, Bahasa 4, Puisi 2.","","","","","","","","","","","","","","","","","a|Lomba terbanyak|IPA;b|Lomba tersedikit|Puisi;c|Jumlah peserta Matematika+Bahasa|10"
"69","17","pilihan_ganda","practice","Jika batang kategori C mencapai angka 7 pada sumbu jumlah, artinya ...","","","","B","","","kategori C urutan ke-7","jumlah data kategori C adalah 7","tinggi batang 7 cm pasti","kategori C paling besar pasti","","","","","","",""
"69","18","essay","practice","Sebutkan dua langkah membaca diagram batang agar tidak salah tafsir.","","","","cek judul/label sumbu dan baca skala sebelum membaca nilai batang","","","","","","","","","","","","",""
"69","19","pilihan_ganda","practice","Manakah yang benar tentang diagram batang?","","","","C","","","hanya bisa untuk 2 kategori","tidak perlu sumbu","setiap batang mewakili satu kategori data","tidak bisa menunjukkan data paling banyak","","","","","","",""
"69","20","multipart","practice","Gunakan diagram batang tegak pada gambar.","","","/images/kelas4-piktogram-diagram/k4pd-q20-bar-tegak.png","","","","","","","","","","","","","","a|Kategori dengan nilai 2|Catur;b|Jumlah siswa SepakBola+Basket|14;c|Kategori paling sedikit|Catur"
"69","21","essay","practice","Dari diagram pada nomor 20, berapa selisih peserta SepakBola dan Tari?","","","","5","","","","","","","","","","","","",""
"69","22","pilihan_ganda","practice","Jika total peserta semua kategori 26 dan kategori A=9, B=4, C=6, D=2, maka kategori E adalah ...","","","","A","","","5","4","3","6","","","","","","",""
"69","23","essay","practice","Ubah data bunga: mawar 5, melati 8, anggrek 7 ke diagram batang mendatar (deskripsi).","","","","diagram batang mendatar dengan panjang batang sesuai nilai 5,8,7","","","","","","","","","","","","",""
"69","24","multipart","practice","Analisis data transportasi: Mobil 6, Motor 10, Becak 2, Jalan kaki 4.","","","","","","","","","","","","","","","","","a|Transportasi terbanyak|Motor;b|Transportasi tersedikit|Becak;c|Jumlah Mobil+Jalan kaki|10"
"69","25","pilihan_ganda","practice","Jika dua kategori pada diagram punya tinggi batang sama, artinya ...","","","","D","","","datanya pasti nol","kategorinya sama nama","skalanya salah","jumlah datanya sama","","","","","","",""
"69","26","essay","practice","Sebutkan perbedaan utama piktogram dan diagram batang dalam penyajian data.","","","","piktogram pakai simbol gambar, diagram batang pakai batang persegi panjang","","","","","","","","","","","","",""
"69","27","pilihan_ganda","practice","Dalam piktogram, kesalahan umum siswa adalah ...","","","","B","","","membaca judul","mengabaikan legenda/skala","mencatat total","membuat tabel awal","","","","","","",""
"69","28","multipart","practice","Konversi piktogram ke tabel: jika ikon apel 7, jeruk 4, mangga 5 (1 ikon=1).","","","","","","","","","","","","","","","","","a|Apel pada tabel|7;b|Jeruk pada tabel|4;c|Total buah|16"
"69","29","essay","practice","Buat 1 pertanyaan analitis dari data: A=5, B=9, C=3, D=8 dan jawab.","","","","contoh: selisih terbesar-terkecil = 6","","","","","","","","","","","","",""
"69","30","multipart","practice","Gunakan diagram batang mendatar pada gambar.","","","/images/kelas4-piktogram-diagram/k4pd-q30-bar-mendatar.png","","","","","","","","","","","","","","a|Bunga terbanyak|Kertas;b|Jumlah Melati+Anggrek|15;c|Bunga paling sedikit|Sepatu"
"69","31","pilihan_ganda","practice","Jika piktogram menunjukkan 8 simbol dan 1 simbol = 5, total data adalah ...","","","","C","","","13","35","40","45","","","","","","",""
