material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
8,1,essay,practice,"Pada gambar ada tiga ruas garis 3 cm, 5 cm, dan 8 cm. Dapatkah disusun menjadi segitiga? Jelaskan singkat.",,,TODO_IMG_SEGITIGA_3_5_8.png,belum/tidak,,,,,,,,,,,,,
8,2,essay,practice,"Tiga ruas garis 4 cm, 6 cm, dan 7 cm disusun seperti gambar. Apakah bisa membentuk segitiga? Jika bisa, jenis segitiga berdasarkan sisinya?",,,TODO_IMG_SEGITIGA_4_6_7.png,segitiga sembarang,,,,,,,,,,,,,
8,3,mcq,practice,Segitiga pada gambar memiliki satu sudut 90 derajat. Termasuk segitiga...,,,TODO_IMG_SEGITIGA_SIKU_01.png,B,,,Lancip,Siku-siku,Tumpul,Sama sisi,,,,,,,
8,4,essay,practice,Dua sudut segitiga masing-masing 45 derajat dan 55 derajat. Tentukan sudut ketiga dan jenis segitiga berdasarkan besar sudutnya.,,,TODO_IMG_SUDUT_45_55.png,80 derajat; segitiga lancip.,,,,,,,,,,,,,
8,5,drag_drop,practice,Kelompokkan tiga ruas garis berikut apakah dapat membentuk segitiga.,,,TODO_IMG_SEGITIGA_GARIS_SET.png,,,,,,,,,,,,"[""5-5-9"", ""2-3-6"", ""7-8-10"", ""3-4-5""]","[""Dapat"", ""Tidak dapat"", ""Dapat"", ""Dapat""]",
8,6,essay,practice,"Bandingkan segitiga A dengan sudut 95, 45, 40 dan segitiga B dengan sudut 80, 60, 40. Tentukan jenis keduanya berdasarkan sudut.",,,,tumpul; lancip,,,,,,,,,,,,,
8,7,mcq,practice,Manakah pasangan tiga sisi yang dapat membentuk segitiga?,,,TODO_IMG_PILIH_SISI_SEGITIGA.png,C,,,"2, 3, 6","4, 5, 9","5, 6, 7","1, 2, 4",,,,,,,
8,8,essay,practice,"Segitiga A memiliki sudut terbesar 92 derajat, segitiga B memiliki sudut terbesar 88 derajat. Bandingkan jenis segitiga A dan B.",,,TODO_IMG_SEGITIGA_A_B_SUDUT.png,tumpul; lancip,,,,,,,,,,,,,
8,9,multipart,practice,Hitung dan klasifikasikan segitiga.,,,,,,,,,,,,,,,,,"a|Diketahui sudut 35 derajat dan 75 derajat. Sudut ketiga?|70 derajat|TODO_IMG_SEGITIGA_SUDUT_35_75.png;b|Berdasarkan besar sudutnya, jenis segitiga tersebut?|lancip"
8,10,essay,practice,"Bandingkan segitiga C dengan sisi 5, 5, 5 dan segitiga D dengan sisi 5, 5, 8. Sebutkan jenisnya berdasarkan sisi.",,,TODO_IMG_SEGITIGA_C_D_SISI.png,sama sisi; sama kaki,,,,,,,,,,,,,
