material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
1,1,drag_drop,practice,Pasangkan pecahan dengan nilai desimal.,,,TODO_IMG_KARTU_DESIMAL.png,,,,,,,,,,,,1/5;2/5;4/5,"0.2,0.4,0.8",
1,2,mcq,practice,Manakah yang lebih besar?,,,,7/10,,7/10 = 0.7 lebih besar dari 2/3,7/10,2/3,3/5,5/8,,,,,,,
1,3,drag_drop,practice,Pasangkan operasi pecahan dengan hasilnya.,,,,,,,,,,,,,,,2/3+1/6;5/8-1/8;1/4+1/2,"5/6,1/2,3/4",
1,4,essay,practice,Sisa kue: 5/6 dimakan 1/3. Berapa sisanya?,,,,1/2,,,,,,,,,,,,,
1,5,essay,practice,Ubah 18/24 ke bentuk paling sederhana.,,,,3/4,,,,,,,,,,,,,
1,6,essay,practice,Nadia memiliki 7/8 loyang brownies. Ia memberi 1/4 loyang ke temannya. Berapa sisa brownies Nadia?,,,TODO_IMG_BROWNIES_LOYANG.png,5/8,,,,,,,,,,,,,
1,7,essay,practice,"Satu jam belajar = 60 menit. Jika Dina belajar 45 menit, berapa pecahan waktunya dari 1 jam?",,,,3/4,,,,,,,,,,,,,
1,8,drag_drop,practice,Pasangkan pecahan dengan urutan yang tepat.,,,,,,,,,,,,,,,1/3;1/2;3/4,"terkecil,tengah,terbesar",
1,9,mcq,practice,Hasil dari 1/4 + 2/8 adalah...,,,,1/2,,,3/8,1/2,5/8,3/4,,,,,,,
1,10,essay,practice,"Di kebun, 9 dari 27 bibit tumbuh. Sederhanakan pecahan 9/27.",,,,1/3,,,,,,,,,,,,,
1,11,essay,practice,"Sebuah pita sepanjang 20 bagian, 12 bagian terpakai. Tulis pecahan 12/20 dalam bentuk sederhana.",,,TODO_IMG_PITA_20_BAGIAN.png,3/5,,,,,,,,,,,,,
1,12,essay,practice,Hitung 2/3 + 1/6.,,,,5/6,,,,,,,,,,,,,
