material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
17,1,essay,practice,Hitung jumlah kubus pada Susunan A.,,,TODO_IMG_STACK_A.png,5,,,,,,,,,,,,,
17,2,essay,practice,"Pada Susunan A, berapa banyak kubus di lapisan dasar?",,,TODO_IMG_STACK_A.png,4,,,,,,,,,,,,,
17,3,mcq,practice,Jumlah kubus pada Susunan B adalah...,,,TODO_IMG_STACK_B.png,B,,,4,5,6,7,,,,,,,
17,4,multipart,practice,Susunan B.,,,TODO_IMG_STACK_B.png,,,,,,,,,,,,,,a|Jumlah kubus|6;b|Jumlah kubus di lapisan atas|2
17,5,essay,practice,"Sebuah susunan terdiri dari 2 lapisan: lapisan bawah 3x2 kubus, lapisan atas 2x1 kubus. Berapa jumlah kubus seluruhnya?",,,,8,,,,,,,,,,,,,
17,6,mcq,practice,"Jika sebuah balok memiliki panjang 6, lebar 4, tinggi 4, apakah itu kubus?",,,,C,,,Ya,Tidak,Hanya jika semua sama,Tidak bisa ditentukan,,,,,,,
17,7,drag_drop,practice,Pasangkan bangun ruang dengan cirinya.,,,,,,,,,,,,,,,kubus;balok;prisma segitiga;limas segiempat,"6 sisi persegi,6 sisi persegi panjang,2 segitiga + 3 persegi panjang,alas persegi + 4 segitiga",
17,8,essay,practice,"Bangun tersusun dari 3 balok identik. Jika dilihat dari depan tampak 3 balok sejajar, apakah tampak atas selalu 3 balok sejajar? Jelaskan singkat.",,,,tidak,,,,,,,,,,,,,
17,9,multipart,practice,Tampak Susunan A.,,,TODO_IMG_VIEWS_ABC.png,,,,,,,,,,,,,,a|Panel A adalah tampak apa?|atas;b|Panel B adalah tampak apa?|depan;c|Panel C adalah tampak apa?|kanan
17,10,essay,practice,Gunakan gambar Tampak Depan & Atas. Berapa jumlah kubus minimal yang mungkin?,,,TODO_IMG_VIEWS_FRONT_TOP.png,4,,,,,,,,,,,,,
17,11,mcq,practice,Jumlah rusuk pada kubus adalah...,,,,B,,,8,12,6,10,,,,,,,
17,12,essay,practice,Jelaskan perbedaan kubus dan balok dalam satu kalimat.,,,,kubus semua sisi persegi; balok sisi persegi panjang,,,,,,,,,,,,,
17,13,drag_drop,practice,Pasangkan istilah dengan artinya.,,,,,,,,,,,,,,,komposisi;dekomposisi;sisi;rusuk,"menyusun,mengurai,bidang,pertemuan sisi",
17,14,essay,practice,Sebuah susunan kubus terlihat sama dari depan dan belakang. Apa artinya tentang susunan tersebut?,,,,simetris,,,,,,,,,,,,,
17,15,mcq,practice,"Jika tampak atas menunjukkan 4 kubus (2x2), jumlah kubus minimal adalah...",,,,A,,,4,5,6,8,,,,,,,
17,16,essay,practice,"Sebuah bangun disusun dari kubus satuan. Tampak depan 2x2, tampak atas 2x2. Berapa jumlah kubus minimal?",,,,4,,,,,,,,,,,,,
17,17,drag_drop,practice,Pasangkan tampak dengan susunan yang cocok.,,,TODO_IMG_VIEWS_ABC.png,,,,,,,,,,,,A;B;C,"atas,depan,kanan",
17,18,essay,practice,"Pada grid lokasi, titik X berada di petak mana?",,,TODO_IMG_GRID_LOC.png,C-4,,,,,,,,,,,,,
17,19,multipart,practice,Grid lokasi.,,,TODO_IMG_GRID_LOC.png,,,,,,,,,,,,,,a|Titik X berada di baris?|C;b|Titik X berada di kolom?|4
17,20,essay,practice,"Pada grid, berapa jarak horizontal dari S ke T?",,,TODO_IMG_GRID_PATH.png,2,,,,,,,,,,,,,
17,21,multipart,practice,Grid rute.,,,TODO_IMG_GRID_PATH.png,,,,,,,,,,,,,,a|Jarak vertikal S ke T|3;b|Jarak horizontal S ke T|2;c|Jarak total manhattan|5
17,22,essay,practice,Sebuah balok memiliki ukuran 2x3x4. Berapa banyak kubus satuan 1x1x1 yang membentuknya?,,,,24,,,,,,,,,,,,,
17,23,mcq,practice,"Jika kubus satuan disusun menjadi balok 3x4x5, jumlah kubus satuan adalah...",,,,C,,,60,12,60,15,,,,,,,
