material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
75,1,mcq,practice,"Pada garis bilangan, bilangan yang lebih besar berada di ...",,,,kanan,,,kiri,kanan,atas,bawah,,,,,,,
75,2,essay,practice,"Suhu -3°C dibanding -8°C, mana yang lebih tinggi?",,,,-3,,,,,,,,,,,,,
75,3,mcq,practice,Manakah yang terbesar?,,,,-1,,,-10,-1,-3,-8,,,,,,,
75,4,essay,practice,"Urutkan dari kecil ke besar: -12, 4, -3, 0, 7.",,,,-12 < -3 < 0 < 4 < 7,,,,,,,,,,,,,
75,5,mcq,practice,Nilai dari (-4) + 7 adalah ...,,,,3,,,-11,3,-3,11,,,,,,,
75,6,essay,practice,Hitung: 15 + (-8) + (-6).,,,,1,,,,,,,,,,,,,
75,7,mcq,practice,Hasil (-5) - (-9) = ...,,,,4,,,-14,4,-4,14,,,,,,,
75,8,essay,practice,Hitung: -12 - 7.,,,,-19,,,,,,,,,,,,,
75,9,mcq,practice,Hasil (-3) × 6 = ...,,,,-18,,,18,-18,-3,3,,,,,,,
75,10,essay,practice,Hitung: (-4) × (-8).,,,,32,,,,,,,,,,,,,
75,11,mcq,practice,Hasil 24 ÷ (-6) = ...,,,,-4,,,-4,4,-6,6,,,,,,,
75,12,essay,practice,Hitung: (-36) ÷ (-9).,,,,4,,,,,,,,,,,,,
75,13,mcq,practice,"Jika suhu -5°C naik 8°C, suhu menjadi ...",,,,3,,,-13,3,-3,13,,,,,,,
75,14,essay,practice,"Jika saldo -250.000 ditambah 400.000, saldo menjadi ...",,,,150000,,,,,,,,,,,,,
75,15,mcq,practice,Manakah pernyataan benar?,,,,-3 > -8,,,-8 > -3,-3 > -8,-3 < -8,-3 = -8,,,,,,,
75,16,essay,practice,"Dari -1 dan -10, mana lebih kecil?",,,,-10,,,,,,,,,,,,,
75,17,mcq,practice,Sifat komutatif berlaku pada ...,,,,penjumlahan,,,penjumlahan,pengurangan,pembagian,pengurangan dan pembagian,,,,,,,
75,18,essay,practice,Berikan contoh pengurangan yang tidak komutatif.,,,,5-2 != 2-5,,,,,,,,,,,,,
75,19,mcq,practice,Sifat asosiatif berlaku pada ...,,,,penjumlahan,,,penjumlahan,pengurangan,pembagian,pengurangan dan pembagian,,,,,,,
75,20,essay,practice,Hitung: (−10) + (−4) − 17.,,,,-31,,,,,,,,,,,,,
75,21,mcq,practice,Nilai 5×6 + (−3)×9 = ...,,,,3,,,-3,3,-9,9,,,,,,,
75,22,essay,practice,Hitung: (-4) × (-8) ÷ 2.,,,,16,,,,,,,,,,,,,
75,23,mcq,practice,"Jika suhu 3°C dikali -2, hasilnya ...",,,,-6,,,-6,6,-5,5,,,,,,,
75,24,essay,practice,"Skor: benar +5, salah −1, kosong 0. Jika 20 benar, 5 salah, 5 kosong, skor = ...",,,,95,,,,,,,,,,,,,
75,25,mcq,practice,Utang 1.000.000 dibayar 750.000. Sisa utang ...,,,,-250000,,,-250000,250000,-1750000,0,,,,,,,
75,26,essay,practice,"Jika turun 200 subscriber dalam 4 bulan, rata-rata per bulan ...",,,,-50,,,,,,,,,,,,,
75,27,mcq,practice,"Jika -8 ditambah -12, hasilnya ...",,,,-20,,,-20,20,-4,4,,,,,,,
75,28,essay,practice,Hitung: 2 + (−6) − 7.,,,,-11,,,,,,,,,,,,,
75,29,mcq,practice,Hasil (-2) × (-5) = ...,,,,10,,,-10,10,-7,7,,,,,,,
75,30,essay,practice,Hitung: 3×(−7) − 5.,,,,-26,,,,,,,,,,,,,
75,31,mcq,practice,Bilangan yang berada di kiri -3 pada garis bilangan adalah ...,,,,-4,,,-2,-1,-4,0,,,,,,,
75,32,essay,practice,Sebutkan dua contoh bilangan bulat negatif dalam kehidupan.,,,,suhu di bawah nol; kedalaman laut,,,,,,,,,,,,,
75,33,mcq,practice,"Jika suhu -5 naik 30 setiap 3 menit selama 15 menit, suhu akhir ...",,,,145,,,145,95,25,-5,,,,,,,
75,34,essay,practice,Hasil 48 ÷ (−8) × (−4).,,,,24,,,,,,,,,,,,,
75,35,mcq,practice,Mana yang lebih besar: -14 atau -31?,,,,-14,,,-14,-31,sama,tidak bisa,,,,,,,
75,36,essay,practice,"Urutkan: -1000, 500, -253, 108.",,,,-1000 < -253 < 108 < 500,,,,,,,,,,,,,
75,37,mcq,practice,"Jika mendapat 3 pemain bagus (+1) dan 2 pemain buruk (-1), nilai total ...",,,,1,,,1,5,-1,-5,,,,,,,
75,38,essay,practice,Hitung: (+3) + (−5) + (+3) + (−5).,,,,-4,,,,,,,,,,,,,
75,39,mcq,practice,Hasil (-12) ÷ 3 = ...,,,,-4,,,-4,4,-6,6,,,,,,,
75,40,essay,practice,"Bilangan terbesar dari -8, -3, -10 adalah ...",,,,-3,,,,,,,,,,,,,
