material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
76,1,mcq,practice,Faktor dari 12 yang merupakan bilangan prima adalah ...,,,,2 dan 3,,,2 dan 3,1 dan 2,3 dan 4,2 dan 4,,,,,,,
76,2,essay,practice,Sebutkan semua faktor (positif dan negatif) dari 10.,,,,"±1, ±2, ±5, ±10",,,,,,,,,,,,,
76,3,mcq,practice,Pasangan faktor dari 18 adalah ...,,,,"(2,9)",,,"(2,9)","(3,5)","(4,6)","(1,5)",,,,,,,
76,4,essay,practice,Faktorisasi prima 36 adalah ...,,,,2×2×3×3,,,,,,,,,,,,,
76,5,mcq,practice,FPB dari 16 dan 24 adalah ...,,,,8,,,6,8,4,12,,,,,,,
76,6,essay,practice,KPK dari 6 dan 10 adalah ...,,,,30,,,,,,,,,,,,,
76,7,mcq,practice,"Jika dua bilangan prima berbeda, FPB-nya adalah ...",,,,1,,,1,0,bilangan prima,tidak ada,,,,,,,
76,8,essay,practice,Tentukan KPK dari 12 dan 18.,,,,36,,,,,,,,,,,,,
76,9,mcq,practice,Kelipatan persekutuan 4 dan 6 yang terkecil adalah ...,,,,12,,,6,8,12,24,,,,,,,
76,10,essay,practice,Faktorisasi prima 84 adalah ...,,,,2×2×3×7,,,,,,,,,,,,,
76,11,mcq,practice,FPB dari 18 dan 30 adalah ...,,,,6,,,6,3,9,12,,,,,,,
76,12,essay,practice,KPK dari 15 dan 20 adalah ...,,,,60,,,,,,,,,,,,,
76,13,mcq,practice,Bilangan yang TIDAK termasuk faktor 24 adalah ...,,,,5,,,1,2,5,12,,,,,,,
76,14,essay,practice,Tentukan semua pasangan faktor dari 24.,,,,"(1,24),(2,12),(3,8),(4,6) dan pasangan negatif",,,,,,,,,,,,,
76,15,mcq,practice,"Jika FPB(20, 28)=4, maka pasangan faktor persekutuan terbesar adalah ...",,,,4,,,2,4,8,12,,,,,,,
76,16,essay,practice,Tentukan FPB dari 48 dan 64.,,,,16,,,,,,,,,,,,,
76,17,mcq,practice,"KPK(8,12) adalah ...",,,,24,,,24,48,12,36,,,,,,,
76,18,essay,practice,KPK dari 9 dan 15 adalah ...,,,,45,,,,,,,,,,,,,
76,19,mcq,practice,Faktorisasi prima 90 adalah ...,,,,2×3×3×5,,,2×3×3×5,2×5×5,3×3×10,9×10,,,,,,,
76,20,essay,practice,"Jika 30 kue dan 48 kue dibagi sama banyak, jumlah wadah maksimum = ...",,,,6,,,,,,,,,,,,,
76,21,mcq,practice,"Jika Anita membagi 16 jeruk dan 24 apel sama banyak, jumlah orang maksimum ...",,,,8,,,6,8,4,12,,,,,,,
76,22,essay,practice,FPB dari 36 dan 60 adalah ...,,,,12,,,,,,,,,,,,,
76,23,mcq,practice,KPK dari 14 dan 21 adalah ...,,,,42,,,42,28,56,84,,,,,,,
76,24,essay,practice,Faktorisasi prima 72 adalah ...,,,,2×2×2×3×3,,,,,,,,,,,,,
76,25,mcq,practice,"Jika dua bilangan memiliki FPB=1, maka bilangan tersebut ...",,,,relatif prima,,,relatif prima,sama,kelipatan,genap,,,,,,,
76,26,essay,practice,Tentukan FPB dari 45 dan 75.,,,,15,,,,,,,,,,,,,
76,27,mcq,practice,KPK dari 8 dan 18 adalah ...,,,,72,,,36,72,48,144,,,,,,,
76,28,essay,practice,Sebutkan faktor persekutuan dari 12 dan 18.,,,,"1,2,3,6",,,,,,,,,,,,,
76,29,mcq,practice,Pasangan faktor negatif dari 12 adalah ...,,,,"(-3,-4)",,,"(-3,-4)","(3,-4)","(-2,6)","(2,-6)",,,,,,,
76,30,essay,practice,Faktorisasi prima 120 adalah ...,,,,2×2×2×3×5,,,,,,,,,,,,,
76,31,mcq,practice,"Jika jadwal 4 hari dan 6 hari bertemu bersama, lama jeda = ...",,,,12 hari,,,10 hari,12 hari,24 hari,6 hari,,,,,,,
76,32,essay,practice,"Tiga bus datang tiap 6, 10, 15 menit. KPK-nya = ...",,,,30,,,,,,,,,,,,,
76,33,mcq,practice,FPB dari 27 dan 36 adalah ...,,,,9,,,6,9,3,12,,,,,,,
76,34,essay,practice,KPK dari 16 dan 20 adalah ...,,,,80,,,,,,,,,,,,,
76,35,mcq,practice,"Jika faktor persekutuan 18 dan 24 adalah 1,2,3,6 maka FPB = ...",,,,6,,,3,6,9,12,,,,,,,
76,36,essay,practice,"Jika dua bilangan prima 7 dan 11, KPK = ...",,,,77,,,,,,,,,,,,,
76,37,mcq,practice,Faktor dari bilangan negatif -12 yang benar adalah ...,,,,-3,,,-3,-5,7,¹⁄₂,,,,,,,
76,38,essay,practice,Tuliskan semua faktor (positif) dari 28.,,,,"1,2,4,7,14,28",,,,,,,,,,,,,
76,39,mcq,practice,Faktorisasi prima 210 adalah ...,,,,2×3×5×7,,,2×3×5×7,2×5×5×7,3×5×7,2×3×7,,,,,,,
76,40,essay,practice,KPK dari 24 dan 36 adalah ...,,,,72,,,,,,,,,,,,,
