material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
78,1,mcq,practice,Tentukan suku dan koefisien pada 5a - 20. Koefisien a adalah ...,,,,5,,Koefisien a adalah 5.,5,-20,a,20,,,,,,,
78,2,essay,practice,Ubah 7x - 5 menjadi penjumlahan saja.,,,,7x+(-5),,,,,,,,,,,,,
78,3,mcq,practice,Sederhanakan 3a - 2a + 5 - 8.,,,,a-3,,,a-3,a+3,5a-3,-a-3,,,,,,,
78,4,essay,practice,Sederhanakan -2x - 4x + 7.,,,,-6x+7,,,,,,,,,,,,,
78,5,mcq,practice,Suku sejenis dari -3y adalah ...,,,,2y,,Suku sejenis harus variabel dan pangkat sama.,2y,-3x,y^2,3,,,,,,,
78,6,essay,practice,Hitung (a-7) + (2a+5).,,,,3a-2,,,,,,,,,,,,,
78,7,mcq,practice,Hasil dari (2a+5) - (a-7) adalah ...,,,,a+12,,,a+12,a-12,3a-2,3a+2,,,,,,,
78,8,essay,practice,Sederhanakan (7x+2) - (3x-1).,,,,4x+3,,,,,,,,,,,,,
78,9,mcq,practice,Sederhanakan 2(x+4).,,,,2x+8,,,2x+8,2x+4,x+8,x+4,,,,,,,
78,10,essay,practice,Sederhanakan (2x+5)(-3).,,,,-6x-15,,,,,,,,,,,,,
78,11,mcq,practice,Nilai dari 6x : 4 setara dengan ...,,,,1.5x,,,1.5x,4x/6,6x-4,x-4,,,,,,,
78,12,essay,practice,Sederhanakan (3x+9):3.,,,,x+3,,,,,,,,,,,,,
78,13,mcq,practice,"Jika (8x-3):2, bentuk yang benar adalah ...",,,,4x-1.5,,,4x-1.5,4x-3,8x-1,4x+1.5,,,,,,,
78,14,essay,practice,Sederhanakan 3(2x+1) - 8(x-2).,,,,-2x+19,,,,,,,,,,,,,
78,15,mcq,practice,Manakah yang merupakan bentuk aljabar linear?,,,,-8r,,,-8r,3x^2,5ab,x^2+y,,,,,,,
78,16,essay,practice,Tentukan bentuk aljabar total harga 7 koper @a dan 3 koper @b.,,,,7a+3b,,,,,,,,,,,,,
78,17,mcq,practice,Banyaknya air 20% dari x liter ditulis ...,,,,0.2x,,,0.2x,20x,x/20,2x,,,,,,,
78,18,essay,practice,Sisa jarak dari 10 km jika berjalan x jam dengan kecepatan 3 km/jam.,,,,10-3x,,,,,,,,,,,,,
78,19,mcq,practice,Luas belah ketupat dengan diagonal a dan b adalah ...,,,,(a*b)/2,,,(a*b)/2,a*b,2ab,a+b,,,,,,,
78,20,essay,practice,"Jika x=-9 dan y=2, hitung 2x+8.",,,,-10,,,,,,,,,,,,,
78,21,mcq,practice,"Jika x=-9 dan y=2, nilai 3x+5y adalah ...",,,,-17,,,-17,-27,-7,17,,,,,,,
78,22,essay,practice,Sederhanakan (-3a+7) + (2a-4).,,,,-a+3,,,,,,,,,,,,,
78,23,mcq,practice,Sederhanakan (x-1) - (3x-4).,,,,-2x+3,,,-2x+3,2x-3,-4x+5,x-5,,,,,,,
78,24,essay,practice,Sederhanakan 3a - 2(a+1).,,,,a-2,,,,,,,,,,,,,
78,25,mcq,practice,Sederhanakan 4(4x-3) + 2(5-6x).,,,,4x-2,,,4x-2,4x+2,-4x-2,2x-2,,,,,,,
78,26,essay,practice,"Jika barisan 5,8,11,14,... dinyatakan 3a+2, tentukan bilangan ke-30.",,,,92,,,,,,,,,,,,,
78,27,mcq,practice,"Jika a adalah bilangan tengah pada 3 bilangan vertikal di kalender, jumlah ketiganya adalah ...",,,,3a,,,3a,a,2a,a+7,,,,,,,
78,28,essay,practice,"Jika bilangan tengah pada kalender adalah a, nyatakan bilangan atas dan bawahnya.",,,,a-7 dan a+7,,,,,,,,,,,,,
78,29,mcq,practice,Sederhanakan 7(2a-1) + 6(-3a+2).,,,,-4a+5,,,-4a+5,4a+5,-4a-5,4a-5,,,,,,,
78,30,essay,practice,Sederhanakan -(4a+7) + 3(a+5).,,,,-a+8,,,,,,,,,,,,,
78,31,mcq,practice,Sederhanakan 9x - 2(x-8).,,,,7x+16,,,7x+16,7x-16,11x-16,11x+16,,,,,,,
78,32,essay,practice,Sederhanakan -5(x-1) - 4(2x+1).,,,,-13x+1,,,,,,,,,,,,,
78,33,mcq,practice,Sederhanakan 6(2a+4) - 8(3-a).,,,,20a-8,,,20a-8,-20a-8,20a+8,-20a+8,,,,,,,
78,34,essay,practice,Sederhanakan 4x + 5(2x-7).,,,,14x-35,,,,,,,,,,,,,
78,35,mcq,practice,Sederhanakan (-8x+20):(-4).,,,,2x-5,,,2x-5,-2x+5,2x+5,-2x-5,,,,,,,
78,36,essay,practice,"Pada susunan persegi dari kancing, jika tiap sisi x butir, nyatakan total kancing dengan cara membagi menjadi 4 sisi dan 4 sudut.",,,,4x-4,,,,,,,,,,,,,
78,37,mcq,practice,"Tedi menambah sisi heksagon dari 3 ke 4 fiber, tambahan fiber adalah 18. Jika sisi naik 1 menjadi n+1, tambahan fiber adalah ...",,,,6n-6,,,6n-6,6n,6n+6,n-6,,,,,,,
78,38,essay,practice,"Untuk heksagon sisi 5 fiber, total fiber pada keliling penampang adalah ...",,,,30,,,,,,,,,,,,,
78,39,mcq,practice,Bentuk aljabar kuadrat adalah ...,,,,3x^2+2x+1,,,3x^2+2x+1,3x+2,x-5,2a-7,,,,,,,
78,40,essay,practice,Sederhanakan (6x+1) + 3(x+2).,,,,9x+7,,,,,,,,,,,,,
