material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
79,1,mcq,practice,Kalimat matematika untuk: menambahkan 5 ke 3 kali x menghasilkan 17 adalah ...,,,,3x+5=17,,,3x+5=17,3x+5<17,3x-5=17,5x+3=17,,,,,,,
79,2,essay,practice,Tuliskan pertidaksamaan: waktu kurang dari 15 menit untuk berlari 3600 m dengan kecepatan x m/menit.,,,,3600/x < 15,,,,,,,,,,,,,
79,3,mcq,practice,Pernyataan 'a tidak kurang dari b' ditulis ...,,,,a>=b,,,a>=b,a<=b,a>b,a<b,,,,,,,
79,4,essay,practice,Harga 3 pensil @a dan 2 penghapus @6 rupiah lebih dari 9000 rupiah. Tulis pertidaksamaannya.,,,,3a+12>9000,,,,,,,,,,,,,
79,5,mcq,practice,"Jika (3x+2) lebih ringan dari (5x+3), maka hubungan yang benar adalah ...",,,,3x+2<5x+3,,,3x+2<5x+3,3x+2>5x+3,3x+2=5x+3,3x+2<=5x+3,,,,,,,
79,6,essay,practice,Tentukan nilai x yang membuat persamaan 3x+2 = x+10 benar.,,,,4,,,,,,,,,,,,,
79,7,mcq,practice,Manakah nilai x yang membuat 2x+5=11 benar?,,,,3,,,1,2,3,4,,,,,,,
79,8,essay,practice,Selesaikan x+6=-2.,,,,-8,,,,,,,,,,,,,
79,9,mcq,practice,Selesaikan x-3=4.,,,,7,,,-1,1,7,-7,,,,,,,
79,10,essay,practice,Selesaikan 4x=32.,,,,8,,,,,,,,,,,,,
79,11,mcq,practice,Selesaikan -3x=18.,,,,-6,,,6,-6,-18,3,,,,,,,
79,12,essay,practice,Selesaikan -x=-10.,,,,10,,,,,,,,,,,,,
79,13,mcq,practice,Selesaikan 2x-3=7.,,,,5,,,2,4,5,7,,,,,,,
79,14,essay,practice,Selesaikan x+2=10-x.,,,,4,,,,,,,,,,,,,
79,15,mcq,practice,Persamaan yang penyelesaiannya 2 adalah ...,,,,x-5=-3,,,3x+2=8,x-5=-3,-2x=4,2x-3=x-1,,,,,,,
79,16,essay,practice,Selesaikan 3x+1=9.,,,,⁸⁄₃,,,,,,,,,,,,,
79,17,mcq,practice,Sifat persamaan: jika A=B maka A+m = ...,,,,B+m,,,B+m,B-m,Bm,B/m,,,,,,,
79,18,essay,practice,Selesaikan 2x=6+x.,,,,6,,,,,,,,,,,,,
79,19,mcq,practice,Selesaikan 2x+1=9.,,,,4,,,3,4,5,6,,,,,,,
79,20,essay,practice,Selesaikan 4x-5=-13.,,,,-2,,,,,,,,,,,,,
79,21,mcq,practice,Selesaikan 3x=-2x-15.,,,,-3,,,-5,-3,3,5,,,,,,,
79,22,essay,practice,Selesaikan 2x=3x-8.,,,,8,,,,,,,,,,,,,
79,23,mcq,practice,Selesaikan 8x-3=5+6x.,,,,4,,,1,2,4,6,,,,,,,
79,24,essay,practice,Selesaikan 5x-2(x-3)=3.,,,,-1,,,,,,,,,,,,,
79,25,mcq,practice,Selesaikan 2(3x-4)+3(x+2)=0.,,,,1,,,-1,1,2,-2,,,,,,,
79,26,essay,practice,Selesaikan -2(x+3)=5x+8.,,,,-2,,,,,,,,,,,,,
79,27,mcq,practice,Selesaikan 2.3x = 0.5x + 9.,,,,5,,,4,5,6,7,,,,,,,
79,28,essay,practice,Selesaikan 0.4x+2=0.3x.,,,,-20,,,,,,,,,,,,,
79,29,mcq,practice,Selesaikan 0.25x=0.2x-0.1.,,,,-2,,,-2,2,-0.5,0.5,,,,,,,
79,30,essay,practice,Selesaikan (¹⁄₂)x - 2 = (¹⁄₃)x.,,,,12,,,,,,,,,,,,,
79,31,mcq,practice,Selesaikan (¹⁄₂)x = (²⁄₃)x - 1.,,,,6,,,-6,6,3,-3,,,,,,,
79,32,essay,practice,Selesaikan 5x+21=2x-9.,,,,-10,,,,,,,,,,,,,
79,33,mcq,practice,Tentukan x jika 8x-2=5x+1.,,,,1,,,-1,1,2,3,,,,,,,
79,34,essay,practice,"Jika total siswa tidak kurang dari 12, dari grup 1 a siswa dan grup 2 6 siswa, tulis pertidaksamaannya.",,,,a+6>=12,,,,,,,,,,,,,
79,35,mcq,practice,Seorang pekerja 60 kg membawa a kotak masing-masing 20 kg. Total tidak melebihi 300 kg. Pertidaksamaannya ...,,,,20a+60<=300,,,20a+60<=300,20a+60>=300,20a-60<=300,20a+60<300,,,,,,,
79,36,essay,practice,Harga x onde-onde @1200 dan 1 kotak susu 2000 sama dengan harga y pukis @1600. Tulis persamaannya.,,,,1200x+2000=1600y,,,,,,,,,,,,,
79,37,mcq,practice,"Jika 3 potong tali masing-masing x cm dipotong dari 80 cm dan sisa 5 cm, maka ...",,,,3x+5=80,,,3x+5=80,3x-5=80,80-3x=5,3x=80,,,,,,,
79,38,essay,practice,Selesaikan 3x=5x-12.,,,,6,,,,,,,,,,,,,
79,39,mcq,practice,Manakah yang merupakan persamaan linear?,,,,4x-9=0,,,x^2+2x=0,4x-9=0,x^2-4=0,x^2+1=0,,,,,,,
79,40,essay,practice,Selesaikan 4x+12=7-x.,,,,-1,,,,,,,,,,,,,
