material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
81,1,mcq,practice,"Kolam terisi dengan laju 8 cm/jam, tinggi air y setelah x jam adalah ...",,,,y=8x,,,y=8x,y=8+x,y=8/x,y=x/8,,,,,,,
81,2,essay,practice,"Jika kolam penuh dalam 15 jam dan laju 8 cm/jam, tinggi kolam (cm) adalah ...",,,,120,,,,,,,,,,,,,
81,3,mcq,practice,"Jika y adalah fungsi dari x, maka untuk setiap nilai x ...",,,,hanya satu y,,,hanya satu y,dua y,tak terhingga y,y bebas,,,,,,,
81,4,essay,practice,"Untuk domain 0<=x<=15 pada y=8x, nyatakan jangkauan y.",,,,0<=y<=120,,,,,,,,,,,,,
81,5,mcq,practice,Persamaan fungsi perbandingan senilai adalah ...,,,,y=ax,,,y=ax,y=a/x,xy=a,y=a+x,,,,,,,
81,6,essay,practice,"Jika y berbanding lurus dengan x dan saat x=2, y=-8, maka persamaan y dalam x adalah ...",,,,y=-4x,,,,,,,,,,,,,
81,7,mcq,practice,"Jika y=-4x dan x bertambah, maka y ...",,,,menurun,,,menurun,meningkat,tetap,acak,,,,,,,
81,8,essay,practice,"Pegas meregang 4 cm saat beban 50 g. Jika berbanding lurus, nyatakan y dalam x.",,,,y=0.08x,,,,,,,,,,,,,
81,9,mcq,practice,"Jika y=0.08x dan x=80, maka y= ...",,,,6.4,,,6.4,8,4,10,,,,,,,
81,10,essay,practice,"Jika y=2x, tentukan y saat x=-3.",,,,-6,,,,,,,,,,,,,
81,11,mcq,practice,Grafik y=ax selalu melalui titik ...,,,,"(0,0)",,,"(0,0)","(1,0)","(0,1)","(1,1)",,,,,,,
81,12,essay,practice,"Jika grafik y=ax melalui titik (2,3), maka a= ...",,,,1.5,,,,,,,,,,,,,
81,13,mcq,practice,"Persamaan grafik yang melalui (0,0) dan (2,3) adalah ...",,,,y=1.5x,,,y=1.5x,y=2x,y=3x,y=0.5x,,,,,,,
81,14,essay,practice,"Tentukan persamaan garis lurus yang melalui (0,0) dan (-4,8).",,,,y=-2x,,,,,,,,,,,,,
81,15,mcq,practice,"Jika konstanta perbandingan negatif, grafik akan ...",,,,turun ke kanan,,,turun ke kanan,naik ke kanan,mendatar,melengkung,,,,,,,
81,16,essay,practice,"Jika y berbanding terbalik dengan x dan xy=24, maka y saat x=6 adalah ...",,,,4,,,,,,,,,,,,,
81,17,mcq,practice,"Jika y berbanding terbalik dengan x dan x digandakan, maka y ...",,,,menjadi setengah,,,menjadi setengah,menjadi dua kali,tetap,menjadi empat kali,,,,,,,
81,18,essay,practice,"Tentukan persamaan perbandingan berbalik nilai jika saat x=3, y=12.",,,,xy=36,,,,,,,,,,,,,
81,19,mcq,practice,Fungsi y=2x memiliki domain -5<=x<=5. Range y adalah ...,,,,-10<=y<=10,,,-10<=y<=10,-5<=y<=5,0<=y<=10,-10<=y<=0,,,,,,,
81,20,essay,practice,"Pita 10 m dipakai x m, sisa y. Nyatakan y dalam x.",,,,y=10-x,,,,,,,,,,,,,
81,21,mcq,practice,"Pada y=10-x, jika x bertambah 1, maka y ...",,,,berkurang 1,,,berkurang 1,bertambah 1,tetap,berkurang 10,,,,,,,
81,22,essay,practice,Koordinat titik A jika bergerak 2 ke kanan dan 3 ke atas dari origin adalah ...,,,,"(2,3)",,,,,,,,,,,,,
81,23,mcq,practice,Koordinat dengan absis -3 dan ordinat 4 adalah ...,,,,"(-3,4)",,,"(-3,4)","(3,-4)","(-4,3)","(4,-3)",,,,,,,
81,24,essay,practice,"Jika y=3x, tentukan y saat x=-4.",,,,-12,,,,,,,,,,,,,
