material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
83,1,mcq,practice,Garis yang melalui dua titik A dan B disebut ...,,,,garis AB,,,garis AB,ruas AB,sinar AB,lingkaran AB,,,,,,,
83,2,essay,practice,"Bedakan garis, ruas garis, dan sinar garis AB secara singkat.",,,,garis tak berujung; ruas dari A ke B; sinar dari A ke arah B,,,,,,,,,,,,,
83,3,mcq,practice,Bagian dari titik A ke B pada garis AB disebut ...,,,,ruas AB,,,ruas AB,sinar AB,garis AB,busur AB,,,,,,,
83,4,essay,practice,Sinar AB artinya ...,,,,garis dari A menuju B dan terus,,,,,,,,,,,,,
83,5,mcq,practice,Sudut AOB dibentuk oleh ...,,,,dua sinar OA dan OB,,,dua titik,dua sinar OA dan OB,dua garis sejajar,dua ruas sama panjang,,,,,,,
83,6,essay,practice,"Jika ZAOB = 40 derajat, maka besar sudut AOB adalah ...",,,,40,,,,,,,,,,,,,
83,7,mcq,practice,"Jika dua garis berpotongan tegak lurus, maka sudutnya ...",,,,90 derajat,,,45 derajat,60 derajat,90 derajat,180 derajat,,,,,,,
83,8,essay,practice,Tuliskan simbol untuk garis l tegak lurus m.,,,,l ⟂ m,,,,,,,,,,,,,
83,9,mcq,practice,Garis yang tidak berpotongan disebut ...,,,,sejajar,,,tegak lurus,sejajar,berimpit,berpotongan,,,,,,,
83,10,essay,practice,Tuliskan simbol garis l sejajar m.,,,,l ∥ m,,,,,,,,,,,,,
83,11,mcq,practice,Jarak titik ke garis adalah ...,,,,ruas garis terpendek tegak lurus,,,ruas garis terpendek tegak lurus,ruas sembarang,garis sejajar,busur,,,,,,,
83,12,essay,practice,Jarak antara dua garis sejajar adalah ...,,,,konstan,,,,,,,,,,,,,
83,13,mcq,practice,Himpunan titik yang berjarak sama dari O membentuk ...,,,,lingkaran,,,segitiga,persegi,lingkaran,elips,,,,,,,
83,14,essay,practice,Jari-jari adalah ...,,,,jarak dari pusat ke titik di lingkaran,,,,,,,,,,,,,
83,15,mcq,practice,Segmen garis yang menghubungkan dua titik pada lingkaran disebut ...,,,,tali busur,,,busur,tali busur,diameter,jari-jari,,,,,,,
83,16,essay,practice,Busur AB adalah ...,,,,bagian keliling dari A ke B,,,,,,,,,,,,,
83,17,mcq,practice,Garis yang menyentuh lingkaran di satu titik disebut ...,,,,garis singgung,,,tali busur,diameter,garis singgung,sumbu,,,,,,,
83,18,essay,practice,Sifat penting garis singgung dan jari-jari pada titik singgung.,,,,tegak lurus,,,,,,,,,,,,,
83,19,mcq,practice,"Jika dua lingkaran sama besar berpotongan di P dan Q, segi empat PAQB adalah ...",,,,belah ketupat,,,layang-layang,persegi,belah ketupat,trapesium,,,,,,,
83,20,essay,practice,"Pada belah ketupat, diagonal saling ...",,,,tegak lurus,,,,,,,,,,,,,
83,21,mcq,practice,Sudut berhadapan pada dua garis berpotongan adalah ...,,,,sama besar,,,sama besar,jumlah 90,jumlah 180,berbeda,,,,,,,
83,22,essay,practice,"Jika ∠AOC=50 derajat pada dua garis berpotongan, maka sudut berhadapan = ...",,,,50,,,,,,,,,,,,,
83,23,mcq,practice,Jarak antara dua garis sejajar di mana saja adalah ...,,,,sama,,,berbeda,sama,tak tentu,nol,,,,,,,
83,24,essay,practice,Jelaskan mengapa segmen tegak lurus adalah jarak terpendek.,,,,jalur terpendek,,,,,,,,,,,,,
83,25,mcq,practice,"Jika garis singgung melalui titik T, maka jari-jari OT terhadap garis singgung ...",,,,tegak lurus,,,sejajar,tegak lurus,berimpit,membentuk 45,,,,,,,
83,26,essay,practice,"Jika diameter AB, maka jari-jari OA = ...",,,,setengah AB,,,,,,,,,,,,,
83,27,mcq,practice,Layang-layang memiliki ...,,,,dua pasang sisi berdekatan sama panjang,,,dua pasang sisi sejajar,empat sudut sama,dua pasang sisi berdekatan sama panjang,semua sisi sama,,,,,,,
83,28,essay,practice,"Pada layang-layang PAQB, jika PA=QA dan PB=QB, maka PQ ... AB.",,,,tegak lurus,,,,,,,,,,,,,
83,29,mcq,practice,"Jika garis melalui P tegak lurus garis l, maka garis itu adalah ...",,,,jarak titik P ke garis l,,,garis sejajar,garis l,jarak titik P ke garis l,busur,,,,,,,
83,30,essay,practice,Tentukan jarak dari titik ke garis secara konstruksi.,,,,tarik garis tegak lurus,,,,,,,,,,,,,
83,31,mcq,practice,Dua garis berpotongan tetapi tidak 90 derajat disebut ...,,,,berpotongan biasa,,,sejajar,tegak lurus,berpotongan biasa,berimpit,,,,,,,
83,32,essay,practice,Sebutkan satu contoh sudut yang sama besar karena berhadapan.,,,,sudut vertikal,,,,,,,,,,,,,
83,33,mcq,practice,"Jika garis l sejajar m, maka sudut dalam sepihak jumlahnya ...",,,,180,,,90,180,60,360,,,,,,,
83,34,essay,practice,Titik singgung adalah ...,,,,titik pertemuan lingkaran dan garis singgung,,,,,,,,,,,,,
83,35,mcq,practice,"Jika segmen AB adalah diameter, maka pusat lingkaran berada ...",,,,di tengah AB,,,di A,di B,di tengah AB,di luar,,,,,,,
83,36,essay,practice,Busur kecil AB artinya ...,,,,bagian keliling yang lebih pendek antara A dan B,,,,,,,,,,,,,
83,37,mcq,practice,"Jika dua lingkaran berbeda ukuran berpotongan di P dan Q, segi empat PAQB cenderung ...",,,,simetris terhadap PQ,,,tidak simetris,simetris terhadap AB,simetris terhadap PQ,selalu belah ketupat,,,,,,,
83,38,essay,practice,Sebutkan sifat diagonal layang-layang.,,,,salah satu diagonal sumbu simetri,,,,,,,,,,,,,
83,39,mcq,practice,Jarak dari A ke B adalah ...,,,,panjang ruas AB,,,panjang sinar AB,panjang ruas AB,panjang busur AB,panjang diameter,,,,,,,
83,40,essay,practice,Gambarkan hubungan segmen tegak lurus dari titik P ke garis l sebagai definisi jarak.,,,,PH tegak lurus l,,,,,,,,,,,,,
