material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
84,1,mcq,practice,Dua bangun sama bentuk dan ukuran disebut ...,,,,kongruen,,,kongruen,sebangun,berbeda,simetri,,,,,,,
84,2,essay,practice,Melukis geometri menggunakan alat apa saja?,,,,penggaris dan jangka,,,,,,,,,,,,,
84,3,mcq,practice,Garis sumbu segmen AB diperoleh dari ...,,,,dua lingkaran berpusat A dan B,,,dua lingkaran berpusat A dan B,garis sejajar,garis sembarang,garis singgung,,,,,,,
84,4,essay,practice,Sifat titik pada garis sumbu AB adalah ...,,,,jarak ke A dan B sama,,,,,,,,,,,,,
84,5,mcq,practice,Garis bagi sudut membagi sudut menjadi ...,,,,dua sama besar,,,dua sama besar,tiga sama,empat sama,tidak tentu,,,,,,,
84,6,essay,practice,Titik pada garis bagi sudut memiliki jarak yang ... ke dua sisi sudut.,,,,sama,,,,,,,,,,,,,
84,7,mcq,practice,Garis singgung lingkaran selalu ... terhadap jari-jari di titik singgung.,,,,tegak lurus,,,sejajar,tegak lurus,berimpit,miring,,,,,,,
84,8,essay,practice,Langkah utama melukis garis tegak lurus dari titik P ke garis l.,,,,buat dua lingkaran berpusat A dan B lalu hubungkan titik potong,,,,,,,,,,,,,
84,9,mcq,practice,"Jika segmen AB dilipat hingga A bertemu B, garis lipat adalah ...",,,,garis sumbu,,,garis sumbu,garis sejajar,garis singgung,garis bagi sudut,,,,,,,
84,10,essay,practice,Jarak terpendek dari titik P ke garis l adalah ...,,,,segmen tegak lurus,,,,,,,,,,,,,
84,11,mcq,practice,Translasi adalah ...,,,,geser sejauh vektor,,,putar,geser sejauh vektor,cermin,perbesar,,,,,,,
84,12,essay,practice,"Dalam translasi, sisi-sisi bersesuaian adalah ...",,,,sejajar dan sama panjang,,,,,,,,,,,,,
84,13,mcq,practice,Rotasi adalah ...,,,,putar terhadap pusat,,,geser,putar terhadap pusat,cermin,peregangan,,,,,,,
84,14,essay,practice,"Pada rotasi 90° searah jarum jam, sudut putar adalah ...",,,,90,,,,,,,,,,,,,
84,15,mcq,practice,Refleksi adalah ...,,,,pencerminan terhadap garis,,,geser,pencerminan terhadap garis,putar,perbesar,,,,,,,
84,16,essay,practice,Garis cermin adalah ... dari segmen titik dan bayangannya.,,,,bisektor tegak lurus,,,,,,,,,,,,,
84,17,mcq,practice,Hasil transformasi translasi/rotasi/refleksi adalah ...,,,,kongruen,,,sebangun,kongruen,berbeda,tak tentu,,,,,,,
84,18,essay,practice,"Jika titik A dicerminkan terhadap garis l, maka jarak A ke l sama dengan ...",,,,jarak bayangan ke l,,,,,,,,,,,,,
84,19,mcq,practice,"Jika segitiga ditranslasi, sudut-sudutnya ...",,,,tetap,,,berubah,tetap,bertambah,berkurang,,,,,,,
84,20,essay,practice,"Jika O pusat rotasi dan OA=OD, maka A diputar menjadi D. Apa artinya OA dan OD?",,,,jarak sama ke pusat,,,,,,,,,,,,,
84,21,mcq,practice,Garis yang membagi segmen AB menjadi dua sama panjang dan tegak lurus adalah ...,,,,garis sumbu,,,garis sumbu,garis bagi,garis singgung,garis sejajar,,,,,,,
84,22,essay,practice,"Untuk melukis sudut 30°, buat segitiga sama sisi lalu ...",,,,bagi sudut 60,,,,,,,,,,,,,
84,23,mcq,practice,Sudut 45° dapat dibuat dengan ...,,,,membagi sudut 90°,,,membagi sudut 60°,membagi sudut 90°,membagi sudut 120°,membagi sudut 30°,,,,,,,
84,24,essay,practice,Cara menemukan pusat lingkaran dari busur: buat ...,,,,dua garis sumbu tali busur,,,,,,,,,,,,,
84,25,mcq,practice,Pusat lingkaran dalam segitiga adalah titik potong ...,,,,garis bagi sudut,,,garis berat,garis bagi sudut,garis tinggi,diagonal,,,,,,,
