material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
85,1,mcq,practice,Manakah yang merupakan bilangan rasional?,,,,0.7,,,0.7,√2,π,e,,,,,,,
85,2,essay,practice,Nyatakan 0.75 sebagai pecahan paling sederhana.,,,,3/4,,,,,,,,,,,,,
85,3,mcq,practice,Pilih bilangan yang BUKAN rasional.,,,,√2,,,-3,0.125,√2,-7/5,,,,,,,
85,4,essay,practice,Nyatakan -0.5 dalam bentuk pecahan.,,,,-1/2,,,,,,,,,,,,,
85,5,mcq,practice,Desimal yang berulang termasuk bilangan ...,,,,rasional,,,bulat,irasional,rasional,asli,,,,,,,
85,6,essay,practice,"Urutkan dari kecil ke besar: -0.7, -3/5, -0.55.",,,,-0.7 < -0.6 < -0.55,,,,,,,,,,,,,
85,7,mcq,practice,Bilangan terbesar adalah ...,,,,1.99,,,1.99,1.9,2.03,-1.5,,,,,,,
85,8,essay,practice,Bandingkan 3/5 dan 5/8. Mana lebih besar?,,,,5/8,,,,,,,,,,,,,
85,9,mcq,practice,"Di antara -0.55 dan 0.17, yang lebih besar adalah ...",,,,0.17,,,0.17,-0.55,sama,tidak bisa,,,,,,,
85,10,essay,practice,Letakkan 1/3 dan 0.4 pada garis bilangan: mana lebih kanan?,,,,0.4,,,,,,,,,,,,,
85,11,mcq,practice,Nilai 1/2 + 2/3 = ...,,,,7/6,,,5/6,7/6,1/6,4/6,,,,,,,
85,12,essay,practice,Hitung 2.75 + 1.4.,,,,4.15,,,,,,,,,,,,,
85,13,mcq,practice,Hasil 3/4 - 2/5 = ...,,,,7/20,,,1/20,7/20,5/20,9/20,,,,,,,
85,14,essay,practice,Hitung 6/5 - 0.4.,,,,0.8,,,,,,,,,,,,,
85,15,mcq,practice,"Jika 0.3 = 3/10, maka 0.03 = ...",,,,3/100,,,3/100,3/10,30/100,1/30,,,,,,,
85,16,essay,practice,Ubah 1.25 ke pecahan sederhana.,,,,5/4,,,,,,,,,,,,,
85,17,mcq,practice,Pecahan mana yang setara dengan 0.2?,,,,1/5,,,2/5,1/4,1/5,2/10,,,,,,,
85,18,essay,practice,Hitung: 2/3 + 0.25.,,,,11/12,,,,,,,,,,,,,
85,19,mcq,practice,Hasil 0.54 + 0.32 = ...,,,,0.86,,,0.86,0.76,0.96,0.82,,,,,,,
85,20,essay,practice,Hitung: 6.2 - (2.14 + 8.43).,,,,-4.37,,,,,,,,,,,,,
85,21,mcq,practice,Hasil 3/5 + 1/2 = ...,,,,11/10,,,11/10,4/5,1/10,13/10,,,,,,,
85,22,essay,practice,Hitung: 1.5 - 7/8.,,,,0.625,,,,,,,,,,,,,
85,23,mcq,practice,Desimal 0.125 sama dengan pecahan ...,,,,1/8,,,1/8,1/5,1/6,1/9,,,,,,,
85,24,essay,practice,"Bandingkan -2.5 dan -8.5, mana lebih hangat?",,,,-2.5,,,,,,,,,,,,,
85,25,mcq,practice,"Jika total kuota 12 GB, adik pakai 1.25 GB dan tambah 0.5 GB, sisa adik ...",,,,10.25,,,10.25,9.75,10.75,11.25,,,,,,,
85,26,essay,practice,Estimasi: 3/4 + 5/8 mendekati ...,,,,1.4,,,,,,,,,,,,,
85,27,mcq,practice,Bilangan rasional bisa ditulis sebagai ...,,,,a/b dengan b!=0,,,a/b dengan b!=0,akar 2,π,e,,,,,,,
85,28,essay,practice,Tentukan pecahan dari 0.35.,,,,7/20,,,,,,,,,,,,,
85,29,mcq,practice,Mana yang lebih kecil?,,,,-0.7,,,-0.7,-0.55,0.17,0.7,,,,,,,
85,30,essay,practice,"Urutkan: 0.22, 1.5, -7/8, -0.45, 0.8.",,,,-0.875 < -0.45 < 0.22 < 0.8 < 1.5,,,,,,,,,,,,,
85,31,mcq,practice,Hasil 2.17 - 3.5 = ...,,,,-1.33,,,-1.33,1.33,-0.33,0.33,,,,,,,
85,32,essay,practice,Hitung: (3.77-0.31)+(1.34-2.91).,,,,1.89,,,,,,,,,,,,,
85,33,mcq,practice,"Jika 1/5 = 0.2, maka 2/5 = ...",,,,0.4,,,0.4,0.25,0.5,0.6,,,,,,,
85,34,essay,practice,Hitung: 2 1/2 + 3/4.,,,,3.25,,,,,,,,,,,,,
85,35,mcq,practice,Mana yang bernilai lebih besar?,,,,3/4,,,3/4,0.7,0.65,2/3,,,,,,,
85,36,essay,practice,Hitung: 12.50 - (3.2 + 0.75).,,,,8.55,,,,,,,,,,,,,
85,37,mcq,practice,Pecahan 7/12 dalam desimal mendekati ...,,,,0.58,,,0.58,0.62,0.48,0.75,,,,,,,
85,38,essay,practice,Bandingkan 5/9 dan 0.6.,,,,0.6 lebih besar,,,,,,,,,,,,,
85,39,mcq,practice,"Jika 1 GB = 1000 MB, maka 0.75 GB = ...",,,,750 MB,,,750 MB,700 MB,650 MB,800 MB,,,,,,,
85,40,essay,practice,"Jika 3/4 cangkir sama dengan 12 sdm, maka 1/2 cangkir = ...",,,,8 sdm,,,,,,,,,,,,,
