material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
86,1,mcq,practice,Hasil 3/4 × 2/5 = ...,,,,3/10,,,3/10,6/20,2/15,8/20,,,,,,,
86,2,essay,practice,Hitung 2.4 × 0.2.,,,,0.48,,,,,,,,,,,,,
86,3,mcq,practice,Pembagian pecahan 3/4 : 2/3 sama dengan ...,,,,9/8,,,9/8,6/12,3/8,8/9,,,,,,,
86,4,essay,practice,Hitung 3.24 : 0.2.,,,,16.2,,,,,,,,,,,,,
86,5,mcq,practice,Resiprokal dari 5/6 adalah ...,,,,6/5,,,6/5,5/6,-6/5,-5/6,,,,,,,
86,6,essay,practice,Hitung 7/8 ÷ 1/4.,,,,3.5,,,,,,,,,,,,,
86,7,mcq,practice,Hasil 0.12 : 0.4 = ...,,,,0.3,,,0.3,3,0.03,0.12,,,,,,,
86,8,essay,practice,Hitung 0.36 : 1.8.,,,,0.2,,,,,,,,,,,,,
86,9,mcq,practice,Hasil 0.45 : 1.5 = ...,,,,0.3,,,0.3,3,0.45,0.15,,,,,,,
86,10,essay,practice,Hitung -2.25 : 0.3.,,,,-7.5,,,,,,,,,,,,,
86,11,mcq,practice,Hasil 2/3 × 3/5 = ...,,,,2/5,,,2/5,1/5,3/8,1/2,,,,,,,
86,12,essay,practice,Hitung 5/6 × 3/10.,,,,1/4,,,,,,,,,,,,,
86,13,mcq,practice,Hasil 1.25 × 0.4 = ...,,,,0.5,,,0.5,0.05,5,0.2,,,,,,,
86,14,essay,practice,Hitung 1.6 ÷ (-0.8) + 5.,,,,3,,,,,,,,,,,,,
86,15,mcq,practice,"Jika 1/2 cangkir = 8 sdm, maka 3/4 cangkir = ...",,,,12 sdm,,,12 sdm,10 sdm,14 sdm,16 sdm,,,,,,,
86,16,essay,practice,Resep 5 porsi memakai 1 3/4 cangkir tepung. Untuk 30 porsi butuh ... cangkir.,,,,10.5,,,,,,,,,,,,,
86,17,mcq,practice,Hasil 2.17 - 3.5 = ...,,,,-1.33,,,-1.33,1.33,-0.33,0.33,,,,,,,
86,18,essay,practice,Hitung (3.77-0.31) + (1.34-2.91).,,,,1.89,,,,,,,,,,,,,
86,19,mcq,practice,"Jika 1 teko santan = 64 cangkir, maka 1/4 teko = ...",,,,16,,,16,12,14,18,,,,,,,
86,20,essay,practice,"1 kantong gula 20 sdm. Jika resep butuh 4/5 kantong, berapa sdm?",,,,16,,,,,,,,,,,,,
86,21,mcq,practice,Hasil 2/5 + 3/10 = ...,,,,7/10,,,7/10,5/10,1/2,8/10,,,,,,,
86,22,essay,practice,Hitung 12.50 - (3.2 + 0.75).,,,,8.55,,,,,,,,,,,,,
86,23,mcq,practice,Pecahan 0.125 setara dengan ...,,,,1/8,,,1/8,1/6,1/10,1/12,,,,,,,
86,24,essay,practice,"Jika 20 m kain dipotong 1.25 m, jumlah potongan = ...",,,,16,,,,,,,,,,,,,
86,25,mcq,practice,Hasil 2.4 ÷ 0.2 = ...,,,,12,,,12,1.2,0.12,24,,,,,,,
86,26,essay,practice,"Jika ayah 28 tahun dan kakek 2.25 kali umur ayah, umur kakek = ...",,,,63,,,,,,,,,,,,,
86,27,mcq,practice,"Jika Tono 7 kali umur ayah 28, umur Tono = ...","Jika Tono 7 tahun dan ayah 28 tahun, rasio umur Tono : ayah = ...",,,1:4,,,1:4,4:1,7:28,28:7,,,,,,,
86,28,essay,practice,"Ayah 28 tahun, Tono 7x ayah. Umur ayah saat Tono lahir (Tono 0) = ...","Ayah 28 tahun, Tono 7 tahun. Umur ayah saat Tono lahir (Tono 0) = ...",,,21,,,,,,,,,,,,,
86,29,mcq,practice,Hasil 0.5 × 7/2 = ...,,,,1.75,,,1.75,3.5,0.75,2.5,,,,,,,
86,30,essay,practice,Hitung -3 + 9.8 × 0.3.,,,,-0.06,,,,,,,,,,,,,
86,31,mcq,practice,Hasil 2.6 × (2/4) = ...,,,,1.3,,,1.3,2.6,0.65,0.26,,,,,,,
86,32,essay,practice,Hitung 0.5 × 7/2.,,,,1.75,,,,,,,,,,,,,
86,33,mcq,practice,Hasil 1/6 × 7/5 = ...,,,,7/30,,,7/30,7/11,1/30,7/25,,,,,,,
86,34,essay,practice,Hitung 3/4 ÷ 5/6.,,,,0.9,,,,,,,,,,,,,
86,35,mcq,practice,"Jika 0.3 = 3/10, maka 2.7 = ...",,,,27/10,,,27/10,2/7,27/100,3/27,,,,,,,
86,36,essay,practice,Hitung 2.72 + 1/2.,,,,3.22,,,,,,,,,,,,,
86,37,mcq,practice,Hasil 4.56 + 2.8 - 6.0 = ...,,,,1.36,,,1.36,0.36,2.36,-1.36,,,,,,,
86,38,essay,practice,Hitung (2/3) × (3/7).,,,,2/7,,,,,,,,,,,,,
86,39,mcq,practice,Hasil 2/3 ÷ 5/4 = ...,,,,8/15,,,8/15,5/6,3/8,5/12,,,,,,,
86,40,essay,practice,Hitung 1/4 ÷ 2/5.,,,,0.625,,,,,,,,,,,,,
