material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
88,1,mcq,practice,,"Dua garis sejajar dipotong sebuah garis. Jika salah satu sudut luar berseberangan bernilai 68°, maka sudut pasangannya adalah ...",,,68°,,,68°,112°,22°,90°,,,,,,,
88,2,essay,practice,,"Dua sudut berpelurus. Jika salah satunya 7x + 10°, sudut lainnya 5x - 20°. Tentukan x dan masing-masing sudut.",,,x=19; sudut 143° dan 37°,,,,,,,,,,,,,
88,3,mcq,practice,,"Pada dua garis sejajar, sudut dalam sepihak besarnya 3y + 20° dan 5y - 10°. Nilai y adalah ...",,,17,,,17,15,12,10,,,,,,,
88,4,essay,practice,,"Segitiga ABC memiliki sudut A = 2x, B = 3x, C = x + 30°. Tentukan besar sudut A, B, C.",,,"x=30; A=60°, B=90°, C=60°",,,,,,,,,,,,,
88,5,mcq,practice,,Manakah pasangan sudut yang pasti sama besar pada dua garis sejajar dipotong transversal?,,,sehadap,,,sehadap,dalam sepihak,luar sepihak,berpelurus,,,,,,,
88,6,essay,practice,,"Pada segitiga, sudut A = 4x - 10°, B = 2x + 30°. Jika C = 50°, tentukan x dan A, B.",,,"x=20; A=70°, B=70°",,,,,,,,,,,,,
88,7,mcq,practice,,Dua segitiga sebangun jika ...,,,dua sudut bersesuaian sama besar,,,dua sudut bersesuaian sama besar,tiga sisi sama panjang,satu sudut sama besar,dua sisi sama panjang,,,,,,,
88,8,essay,practice,,"Segitiga ABC ~ DEF. Jika AB=6, BC=9, AC=12 dan DE=8, tentukan EF dan DF.",,,Skala 8/6=4/3; EF=12; DF=16,,,,,,,,,,,,,
88,9,mcq,practice,,"ΔABC ~ ΔDEF. Jika AB:DE = 3:5, maka perbandingan luas ABC : DEF adalah ...",,,9:25,,,9:25,3:5,5:3,6:10,,,,,,,
88,10,essay,practice,,Sebuah foto berukuran 12 cm × 8 cm diperbesar hingga lebarnya 18 cm. Tentukan tinggi baru agar sebangun.,,,12 cm,,,,,,,,,,,,,
88,11,mcq,practice,,"Jika dua segitiga sebangun, maka perbandingan kelilingnya sama dengan ...",,,perbandingan sisi bersesuaian,,,perbandingan sisi bersesuaian,perbandingan luas,selisih sisi,jumlah sudut,,,,,,,
88,12,essay,practice,,"Sebuah gedung tingginya x meter. Bayangan orang 1,5 m adalah 2 m, bayangan gedung 20 m. Tentukan x.",,,15,,,,,,,,,,,,,
88,13,mcq,practice,,Gambar mana yang sebangun dengan persegi panjang 4×6?,,,8×12,,,8×12,6×8,10×12,4×5,,,,,,,
88,14,essay,practice,,"ΔABC ~ ΔADE dengan D di AB, E di AC. Jika AB=10, AD=6, AC=15. Tentukan AE.",,,9,,,,,,,,,,,,,
88,15,mcq,practice,,"Perbandingan sisi bersesuaian 2:3. Jika sisi kecil 8 cm, sisi besar adalah ...",,,12 cm,,,12 cm,10 cm,16 cm,24 cm,,,,,,,
88,16,essay,practice,,"Segitiga siku-siku ABC, sudut B = 90°. Jika AB=6, BC=8, tarik tinggi BD ke AC. Tentukan panjang BD.",,,4.8,,,,,,,,,,,,,
88,17,mcq,practice,,"Jika ΔABC ~ ΔDEF dan AC berpadanan dengan DF, maka sudut C berpadanan dengan sudut ...",,,F,,,F,D,E,B,,,,,,,
88,18,essay,practice,,"Gambar 1 dan 2 sebangun. Skala dari 1 ke 2 adalah 3:5. Jika luas gambar 1 = 54 cm², luas gambar 2 = ...",,,150,,,,,,,,,,,,,
88,19,mcq,practice,,"Pada dua garis sejajar, sudut luar sepihak ...",,,jumlahnya 180°,,,jumlahnya 180°,sama besar,jumlahnya 90°,selalu berbeda,,,,,,,
88,20,essay,practice,,Sebuah peta berskala 1:50.000. Jarak dua kota pada peta 6 cm. Jarak sebenarnya adalah ... km,,,3,,,,,,,,,,,,,
88,21,mcq,practice,,Manakah pernyataan benar tentang segitiga sebangun?,,,"sudut bersesuaian sama, sisi bersesuaian sebanding",,,"sudut bersesuaian sama, sisi bersesuaian sebanding",semua sisi sama panjang,hanya satu sudut sama,keliling sama,,,,,,,
88,22,essay,practice,,"ΔABC ~ ΔDEF. Jika AB=5, BC=7, AC=9 dan DE=10, tentukan EF dan DF.",,,"EF=14, DF=18",,,,,,,,,,,,,
88,23,mcq,practice,,"Jika skala gambar adalah 1:200, maka 1 cm pada gambar mewakili ...",,,200 cm,,,200 cm,20 cm,2 cm,200 m,,,,,,,
88,24,essay,practice,,"Sebuah segitiga diperbesar dengan faktor skala 1,5. Jika keliling awal 24 cm, keliling baru adalah ...",,,36,,,,,,,,,,,,,
