material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
89,1,mcq,practice,,"Data berikut: nama provinsi, jumlah siswa, nomor absen, tinggi badan. Data numerik adalah ...",,,jumlah siswa dan tinggi badan,,,jumlah siswa dan tinggi badan,nama provinsi dan nomor absen,nomor absen dan jumlah siswa,nama provinsi dan tinggi badan,,,,,,,
89,2,essay,practice,,Sebutkan 2 contoh data kategorik dan 2 contoh data numerik di sekolah.,,,"Contoh kategorik: jenis ekstrakurikuler, golongan darah. Contoh numerik: tinggi badan, jumlah saudara.",,,,,,,,,,,,,
89,3,mcq,practice,,Diagram terbaik untuk menunjukkan perubahan suhu harian selama 7 hari adalah ...,,,diagram garis,,,diagram garis,diagram batang,diagram lingkaran,piktogram,,,,,,,
89,4,essay,practice,,Kelas 7A mengumpulkan data lama belajar (jam) selama 7 hari. Jenis data dan diagram yang paling tepat untuk melihat perubahan harian adalah ...,,,Data numerik; diagram garis.,,,,,,,,,,,,,
89,5,mcq,practice,,"Jika data menunjukkan komposisi pengeluaran keluarga per kategori (makan, transport, tabungan), diagram yang paling tepat adalah ...",,,diagram lingkaran,,,diagram lingkaran,diagram batang,diagram garis,line plot,,,,,,,
89,6,essay,practice,,"Diketahui diagram lingkaran: juring A = 120°, juring B = 90°, sisanya C. Hitung persentase C.",,,150°; 150/360=41.67%,,,,,,,,,,,,,
89,7,mcq,practice,,"Dalam diagram lingkaran, jika satu juring 72°, maka persentasenya adalah ...",,,20%,,,20%,25%,30%,15%,,,,,,,
89,8,essay,practice,,"Sebanyak 40 siswa: 18 memilih sepak bola, 12 bulu tangkis, 10 basket. Tentukan sudut pusat tiap bagian untuk diagram lingkaran.",,,"Sepak bola 162°, bulu tangkis 108°, basket 90°",,,,,,,,,,,,,
89,9,mcq,practice,,Diagram batang ganda digunakan untuk ...,,,membandingkan dua kelompok data sejenis,,,membandingkan dua kelompok data sejenis,menunjukkan bagian dari keseluruhan,menunjukkan perubahan waktu saja,menampilkan data kategorik saja,,,,,,,
89,10,essay,practice,,"Nilai ulangan 10 siswa: 60, 65, 65, 70, 70, 70, 75, 80, 80, 90. Buat ringkasan: nilai paling sering dan sebaran singkat.",,,Modus 70; data berkisar 60-90 dengan konsentrasi di 65-80,,,,,,,,,,,,,
89,11,mcq,practice,,"Pada line plot, jika ada 5 tanda X di atas angka 12, maka artinya ...",,,ada 5 data bernilai 12,,,ada 5 data bernilai 12,nilai 12 muncul 5%,nilai 12 adalah rata-rata,nilai 12 paling kecil,,,,,,,
89,12,essay,practice,,"Sebuah survei: 25 siswa memilih A, 15 memilih B, 10 memilih C. Persentase pilihan B adalah ...",,,30%,,,,,,,,,,,,,
89,13,mcq,practice,,"Data: peringkat kelas 7-1, 7-2, 7-3. Jenis data ini adalah ...",,,kategorik,,,kategorik,numerik,campuran,kontinu,,,,,,,
89,14,essay,practice,,"Dari diagram batang, jumlah total siswa diketahui 40. Jika kategori X = 12 dan Y = 8, berapa persentase kategori lainnya bila hanya ada 3 kategori?",,,Kategori lain = 20; persentase 50%,,,,,,,,,,,,,
89,15,mcq,practice,,"Jika sudut pusat juring adalah 144°, maka bagiannya dari keseluruhan adalah ...",,,40%,,,40%,30%,45%,50%,,,,,,,
89,16,essay,practice,,Buat alasan mengapa data tingkat bunga deposito beberapa bank tidak cocok ditampilkan dalam diagram lingkaran.,,,Karena bukan bagian dari satu keseluruhan; persentase tidak menjumlah 100%.,,,,,,,,,,,,,
89,17,mcq,practice,,Data numerik yang paling tepat ditampilkan dengan line plot adalah ...,,,panjang nama siswa,,,panjang nama siswa,jenis permainan favorit,nama provinsi,jenis kelamin,,,,,,,
89,18,essay,practice,,Total 50 siswa. Diagram lingkaran menunjukkan juring musik 36°. Berapa siswa yang memilih musik?,,,5,,,,,,,,,,,,,
89,19,mcq,practice,,Diagram yang paling tepat untuk membandingkan jumlah pengguna TikTok di 5 kelas adalah ...,,,diagram batang,,,diagram batang,diagram garis,diagram lingkaran,line plot,,,,,,,
89,20,essay,practice,,"Data jumlah aplikasi di gawai: 0(1 siswa), 1(3), 2(7), 3(10), 4(8), 5(4), 6(1). Berapa jumlah siswa?",,,34,,,,,,,,,,,,,
89,21,mcq,practice,,"Jika diagram lingkaran menunjukkan 55% laki-laki, maka sudut pusatnya adalah ...",,,198°,,,198°,180°,165°,150°,,,,,,,
89,22,essay,practice,,Sebuah kelas membuat diagram batang ganda untuk nilai matematika dan IPA. Jelaskan informasi apa yang mudah dibandingkan dari diagram tersebut.,,,Perbandingan nilai matematika vs IPA per kategori/kelompok/waktu yang sama.,,,,,,,,,,,,,
89,23,mcq,practice,,Data berikut yang cocok untuk diagram garis ganda adalah ...,,,suhu harian kota A dan B selama 7 hari,,,suhu harian kota A dan B selama 7 hari,jenis makanan favorit di kelas,jumlah siswa per kelas,proporsi pengeluaran,,,,,,,
89,24,essay,practice,,"Diagram lingkaran menunjukkan: A 25%, B 40%, C 20%, D 15%. Jika total 200 siswa, berapa siswa kategori B dan D?",,,"B=80, D=30",,,,,,,,,,,,,
89,25,mcq,practice,,"Jika frekuensi data terbanyak ada pada kelas interval 16-20 pada diagram batang data kelompok, maka itu disebut ...",,,kelas modus,,,kelas modus,kelas median,kelas minimum,kelas maksimum,,,,,,,
89,26,essay,practice,,"Nilai ulangan 15 siswa: 40, 42, 45, 45, 45, 50, 50, 50, 55, 60, 60, 65, 70, 70, 80. Sebutkan data yang menyimpang (outlier) secara kasar dan alasannya.",,,40 atau 80 dapat dianggap menyimpang karena jauh dari kumpulan utama 45-70,,,,,,,,,,,,,
89,27,mcq,practice,,"Jika suatu diagram lingkaran tidak mencantumkan total data, informasi apa yang tidak bisa diketahui pasti?",,,jumlah absolut tiap kategori,,,jumlah absolut tiap kategori,persentase tiap kategori,perbandingan antar kategori,kategori terbesar,,,,,,,
89,28,essay,practice,,"Sebuah diagram batang menunjukkan 5 kategori dengan total 120. Jika dua kategori terbesar 30 dan 28, berapa persentase gabungan keduanya?",,,48.33%,,,,,,,,,,,,,
89,29,mcq,practice,,Data banyaknya aplikasi di gawai siswa adalah ...,,,numerik,,,numerik,kategorik,kualitatif murni,tidak bisa ditentukan,,,,,,,
89,30,essay,practice,,Sebuah line plot menunjukkan data terendah 6 dan tertinggi 30. Jelaskan makna rentang data dan hitung rentangnya.,,,Rentang = 24; menunjukkan sebaran dari nilai terendah ke tertinggi.,,,,,,,,,,,,,
89,31,mcq,practice,,"Pada diagram batang ganda, jika satu kelompok selalu lebih tinggi dari yang lain di semua kategori, maka ...",,,kelompok itu konsisten lebih besar,,,kelompok itu konsisten lebih besar,diagram tidak valid,data harus diubah,kategori tidak sebanding,,,,,,,
89,32,essay,practice,,"Sebuah survei waktu bermain gawai: 1 jam (5 siswa), 2 jam (9), 3 jam (8), 4 jam (3). Tentukan waktu yang paling umum dan persentasenya.",,,2 jam; 9/25=36%,,,,,,,,,,,,,
