material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
91,1,mcq,practice,,"Segitiga dengan sisi 7, 24, 25 termasuk ...",,,segitiga siku-siku,,,segitiga siku-siku,segitiga lancip,segitiga tumpul,bukan segitiga,,,,,,,
91,2,essay,practice,,Diketahui segitiga siku-siku dengan sisi siku-siku 9 cm dan 12 cm. Tentukan hipotenusanya.,,,15,,,,,,,,,,,,,
91,3,mcq,practice,,Jika c^2 > a^2 + b^2 maka segitiga tersebut adalah ...,,,tumpul,,,tumpul,lancip,siku-siku,sama kaki,,,,,,,
91,4,essay,practice,,Sebuah tangga panjangnya 10 m bersandar pada tembok. Jarak kaki tangga ke tembok 6 m. Berapa tinggi yang dicapai tangga?,,,8,,,,,,,,,,,,,
91,5,mcq,practice,,Tripel Pythagoras berikut yang benar adalah ...,,,"(5,12,13)",,,"(5,12,13)","(6,8,11)","(7,9,12)","(8,10,13)",,,,,,,
91,6,essay,practice,,"Sisi-sisi segitiga adalah 8, 15, dan 17. Tentukan jenis segitiga dan jelaskan singkat.",,,siku-siku karena 17^2=8^2+15^2,,,,,,,,,,,,,
91,7,mcq,practice,,"Pada segitiga 30°-60°-90°, perbandingan sisi (terpendek : sedang : miring) adalah ...",,,1 : √3 : 2,,,1 : √3 : 2,1 : 2 : √3,√3 : 1 : 2,2 : √3 : 1,,,,,,,
91,8,essay,practice,,Segitiga 30°-60°-90° memiliki sisi terpendek 7 cm. Tentukan sisi lainnya.,,,"sisi sedang = 7√3, hipotenusa = 14",,,,,,,,,,,,,
91,9,mcq,practice,,Segitiga 45°-45°-90° memiliki sisi siku-siku 6 cm. Hipotenusa adalah ...,,,6√2,,,6√2,12,3√2,6,,,,,,,
91,10,essay,practice,,Segitiga 45°-45°-90° memiliki hipotenusa 10√2 cm. Tentukan sisi siku-sikunya.,,,10,,,,,,,,,,,,,
91,11,mcq,practice,,"Jika sisi-sisi segitiga adalah 9, 40, 41 maka segitiga ...",,,siku-siku,,,siku-siku,tumpul,lancip,sama kaki,,,,,,,
91,12,essay,practice,,Panjang diagonal persegi panjang 13 cm dan salah satu sisi 5 cm. Tentukan sisi lainnya.,,,12,,,,,,,,,,,,,
91,13,mcq,practice,,Manakah pernyataan benar?,,,"Jika a^2+b^2=c^2, segitiga siku-siku",,,"Jika a^2+b^2=c^2, segitiga siku-siku","Jika a^2+b^2>c^2, segitiga siku-siku","Jika a^2+b^2<c^2, segitiga siku-siku","Jika a=b, segitiga siku-siku",,,,,,,
91,14,essay,practice,,Sebuah layar lebar memiliki lebar 96 cm dan tinggi 54 cm. Tentukan diagonal layar.,,,108,,,,,,,,,,,,,
91,15,mcq,practice,,"Jarak dua titik A(-2,1) dan B(4,5) adalah ...",,,√52,,,√52,√36,√40,√60,,,,,,,
91,16,essay,practice,,"Hitung jarak titik A(-5,3) dan B(3,-4).",,,√113,,,,,,,,,,,,,
91,17,mcq,practice,,"Segitiga dengan sisi 10, 10, 14 termasuk ...",,,tumpul,,,tumpul,siku-siku,lancip,sama sisi,,,,,,,
91,18,essay,practice,,Sebuah persegi memiliki diagonal 18 cm. Tentukan panjang sisinya.,,,9√2,,,,,,,,,,,,,
91,19,mcq,practice,,"Jika hipotenusa 26 cm dan salah satu sisi siku-siku 10 cm, sisi lainnya ...",,,24 cm,,,24 cm,20 cm,16 cm,12 cm,,,,,,,
91,20,essay,practice,,Sebuah tiang 9 m ditahan kawat ke tanah berjarak 12 m dari tiang. Tentukan panjang kawat.,,,15,,,,,,,,,,,,,
91,21,mcq,practice,,"Segitiga dengan sisi 4, 5, 6 termasuk ...",,,lancip,,,lancip,tumpul,siku-siku,sama kaki,,,,,,,
