material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
94,1,mcq,practice,,"Gradien garis yang melalui titik (2,1) dan (6,5) adalah ...",,,1,,,1,2,1/2,4,,,,,,,
94,2,essay,practice,,"Tentukan persamaan garis yang melalui (1,3) dan (5,11).",,,y=2x+1,,,,,,,,,,,,,
94,3,mcq,practice,,Garis y=3x-4 memiliki titik potong sumbu-y di ...,,,"(0,-4)",,,"(0,-4)","(4,0)","(0,4)","(-4,0)",,,,,,,
94,4,essay,practice,,"Tentukan persamaan garis yang sejajar dengan y=2x+5 dan melalui titik (0,-3).",,,y=2x-3,,,,,,,,,,,,,
94,5,mcq,practice,,Garis yang tegak lurus dengan y=½x+2 memiliki gradien ...,,,-2,,,-2,2,-1/2,1/2,,,,,,,
94,6,essay,practice,,"Tentukan persamaan garis yang tegak lurus dengan 3x-2y+6=0 dan melalui (2,-1).",,,y=-2/3 x+1/3,,,,,,,,,,,,,
94,7,mcq,practice,,"Jika garis melalui titik (0,0) dan (4,-2), gradiennya ...",,,-1/2,,,-1/2,1/2,-2,2,,,,,,,
94,8,essay,practice,,"Garis y=mx+c melalui (2,5) dan (4,9). Tentukan m dan c.",,,"m=2, c=1",,,,,,,,,,,,,
94,9,mcq,practice,,"Persamaan garis melalui (0,3) dan gradien -3 adalah ...",,,y=-3x+3,,,y=-3x+3,y=3x-3,y=-3x-3,y=3x+3,,,,,,,
94,10,essay,practice,,Tentukan titik potong sumbu-x dari garis 4x-2y=8.,,,"(2,0)",,,,,,,,,,,,,
94,11,mcq,practice,,Garis sejajar sumbu-x memiliki gradien ...,,,0,,,0,1,-1,tidak terdefinisi,,,,,,,
94,12,essay,practice,,"Tentukan persamaan garis yang melalui (3,2) dan sejajar sumbu-x.",,,y=2,,,,,,,,,,,,,
94,13,mcq,practice,,Garis sejajar sumbu-y memiliki gradien ...,,,tidak terdefinisi,,,tidak terdefinisi,0,1,-1,,,,,,,
94,14,essay,practice,,"Tentukan persamaan garis yang melalui (-4,1) dan sejajar sumbu-y.",,,x=-4,,,,,,,,,,,,,
94,15,mcq,practice,,"Jika garis 2x+ky=6 melalui titik (3,0), maka k=...",,,2,,,2,1,3,0,,,,,,,
94,16,essay,practice,,"Tentukan persamaan garis yang melalui titik (1,-2) dengan gradien 4.",,,y=4x-6,,,,,,,,,,,,,
94,17,mcq,practice,,Dua garis sejajar memiliki gradien 5 dan m. Maka m=...,,,5,,,5,-5,1/5,-1/5,,,,,,,
94,18,essay,practice,,"Dua garis tegak lurus, salah satunya memiliki gradien 3. Tentukan gradien garis lainnya.",,,-1/3,,,,,,,,,,,,,
94,19,mcq,practice,,"Persamaan garis yang melalui (2,0) dan (0,4) adalah ...",,,y=-2x+4,,,y=-2x+4,y=2x+4,y=-2x-4,y=2x-4,,,,,,,
94,20,essay,practice,,"Sebuah garis memotong sumbu-x di (6,0) dan sumbu-y di (0,3). Tentukan persamaannya.",,,y=-0.5x+3,,,,,,,,,,,,,
