material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
95,1,mcq,practice,,"Data: 5, 7, 7, 8, 9, 9, 10. Modusnya adalah ...",,,7 dan 9,,,7 dan 9,7,9,tidak ada,,,,,,,
95,2,essay,practice,,"Tentukan median dari data: 12, 7, 9, 15, 10.",,,10,,,,,,,,,,,,,
95,3,mcq,practice,,"Jika data memiliki banyak anggota genap, median adalah ...",,,rata-rata dua data tengah,,,rata-rata dua data tengah,data terbesar,data terkecil,data yang paling sering,,,,,,,
95,4,essay,practice,,"Tentukan rata-rata dari data: 6, 7, 7, 8, 9, 10.",,,7.8333,,,,,,,,,,,,,
95,5,mcq,practice,,"Jangkauan data 4, 8, 10, 12, 15 adalah ...",,,11,,,11,15,12,8,,,,,,,
95,6,essay,practice,,"Data nilai: 60, 70, 70, 80, 90. Tentukan modus, median, dan rata-rata.",,,"Modus 70, median 70, rata-rata 74",,,,,,,,,,,,,
95,7,mcq,practice,,"Jika Q1 = 20 dan Q3 = 50, maka jangkauan kuartil adalah ...",,,30,,,30,15,50,70,,,,,,,
95,8,essay,practice,,"Jika Q1 = 12 dan Q3 = 28, tentukan simpangan kuartil.",,,8,,,,,,,,,,,,,
95,9,mcq,practice,,"Data: 2, 3, 5, 5, 7, 9. Median adalah ...",,,5,,,5,4,6,7,,,,,,,
95,10,essay,practice,,"Tentukan median dari data: 65, 70, 75, 80, 85, 90.",,,77.5,,,,,,,,,,,,,
95,11,mcq,practice,,"Rata-rata 8 data adalah 72. Jika satu data dihapus dan rata-rata menjadi 70, nilai data yang dihapus adalah ...",,,86,,,86,70,74,72,,,,,,,
95,12,essay,practice,,Sebuah kelas memiliki 10 siswa dengan rata-rata 75. Tambah 1 siswa nilainya 95. Berapa rata-rata baru?,,,76.8182,,,,,,,,,,,,,
95,13,mcq,practice,,"Data: 10, 12, 12, 12, 13, 15. Modusnya adalah ...",,,12,,,12,10,15,tidak ada,,,,,,,
95,14,essay,practice,,"Tentukan jangkauan data: 3, 5, 8, 12, 20, 21.",,,18,,,,,,,,,,,,,
95,15,mcq,practice,,"Jika median suatu data adalah 15, maka ...",,,50% data ≤ 15,,,50% data ≤ 15,semua data 15,modus = 15,rata-rata = 15,,,,,,,
