material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
42,1,essay,practice,,🍎🍎 + 🍎 = ?,,,3,,2 apel ditambah 1 apel = 3.,,,,,,,,,,,
42,2,essay,practice,,"Lengkapi: 3,4,5,__,7",,,6,,Urutan naik bertambah 1.,,,,,,,,,,,
42,3,essay,practice,,4 + 3 = ?,,,7,,4 ditambah 3 = 7.,,,,,,,,,,,
42,4,essay,practice,,9 - 5 = ?,,,4,,9 dikurangi 5 = 4.,,,,,,,,,,,
42,5,essay,practice,,🐟🐟🐟 + 🐟🐟 = ?,,,5,,3 + 2 = 5.,,,,,,,,,,,
42,6,essay,practice,,Lengkapi pasangan 10: 6 + __ = 10,,,4,,Pasangan 10 untuk 6 adalah 4.,,,,,,,,,,,
42,7,essay,practice,,"Mulai 5, lompat 3 langkah → ?",,,8,,5 + 3 = 8.,,,,,,,,,,,
42,8,essay,practice,,🍪🍪🍪🍪 + 🍪 = ?,,,5,,4 + 1 = 5.,,,,,,,,,,,
42,9,essay,practice,,7 + 1 = ?,,,8,,7 ditambah 1 = 8.,,,,,,,,,,,
42,10,essay,practice,,8 + 2 = ?,,,10,,8 + 2 = 10.,,,,,,,,,,,
42,11,essay,practice,,10 - 1 = ?,,,9,,10 dikurangi 1 = 9.,,,,,,,,,,,
42,12,essay,practice,,0 + 6 = ?,,,6,,Menambah 0 tidak mengubah bilangan.,,,,,,,,,,,
42,13,essay,practice,,1 + 2 + 3 = ?,,,6,,1+2+3 = 6.,,,,,,,,,,,
42,14,essay,practice,,"Ada 4 burung, datang 2. Jumlah?",,,6,,4 + 2 = 6.,,,,,,,,,,,
42,15,essay,practice,,"Ada 6 siswa, datang 3. Jumlah?",,,9,,6 + 3 = 9.,,,,,,,,,,,
42,16,essay,practice,,5 + 5 = ?,,,10,,5 + 5 = 10 (penjumlahan berulang).,,,,,,,,,,,
42,17,mcq,practice,,Mana yang hasilnya 10?,,,B,,5 + 5 = 10.,6+3,5+5,7+1,4+7,,,,,,,
42,18,mcq,practice,,3 + 4 = ?,,,C,,3 + 4 = 7.,5,6,7,8,,,,,,,
42,19,mcq,practice,,Bilangan setelah 8 adalah...,,,B,,Setelah 8 adalah 9.,7,9,10,8,,,,,,,
42,20,mcq,practice,,Mana lebih banyak?,,,A,,4 bintang lebih banyak.,⭐⭐⭐⭐,⭐⭐⭐,Sama,Tidak tahu,,,,,,,
42,21,mcq,practice,,9 - 4 = ?,,,C,,9 - 4 = 5.,3,4,5,6,,,,,,,
42,22,mcq,practice,,Pasangan 10 untuk 7 adalah...,,,D,,7 + 3 = 10.,1,2,4,3,,,,,,,
42,23,mcq,practice,,2 + 2 = ?,,,B,,2 + 2 = 4.,3,4,5,6,,,,,,,
42,24,mcq,practice,,Urutan naik yang benar?,,,A,,Naik dari kecil ke besar.,"1,2,3","3,2,1","2,1,3","1,3,2",,,,,,,
42,25,mcq,practice,,Hasil penjumlahan ganda: 4 + 4 = ?,,,C,,4 + 4 = 8.,6,7,8,9,,,,,,,
42,26,mcq,practice,,10 - 7 = ?,,,B,,10 - 7 = 3.,2,3,4,5,,,,,,,
42,27,mcq,practice,,Pasangan 10 untuk 2 adalah...,,,C,,2 + 8 = 10.,7,9,8,6,,,,,,,
42,28,mcq,practice,,5 + 3 = ?,,,D,,5 + 3 = 8.,6,7,9,8,,,,,,,
42,29,drag_drop,practice,,Pasangkan jumlah dengan angka.,,,,,Cocokkan banyak gambar dengan angka.,,,,,,,,,🍓🍓;🍓🍓🍓;🍓;🍓🍓🍓🍓,2;3;1;4,
42,30,drag_drop,practice,,Pasangkan angka dengan kata.,,,,,Cocokkan angka dan nama bilangan.,,,,,,,,,1;2;3;4,satu;dua;tiga;empat,
42,31,drag_drop,practice,,Pasangkan operasi dengan hasil.,,,,,Hitung hasil tiap operasi.,,,,,,,,,2+3;4+1;5+0;3+3,5;5;5;6,
42,32,drag_drop,practice,,Pasangkan gambar dengan angka.,,,,,Hitung jumlah bola.,,,,,,,,,⚽;⚽⚽;⚽⚽⚽;⚽⚽⚽⚽,1;2;3;4,
42,33,drag_drop,practice,,Pasangkan pasangan 10.,,,,,Semua pasangan berjumlah 10.,,,,,,,,,1+9;2+8;3+7;4+6,10;10;10;10,
