material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
41,1,essay,practice,,🍎🍎🍎🍎🍎 ada berapa?,,,5,,Hitung semua ikon apel: ada 5.,,,,,,,,,,,
41,2,essay,practice,,"Lengkapi: 1,2,3,__,5",,,4,,"Urutan naik 1,2,3,4,5.",,,,,,,,,,,
41,3,mcq,practice,,Mana lebih banyak?,,,A,,Bintang tiga lebih banyak dari bintang dua.,⭐⭐⭐,⭐⭐,Sama,Tidak tahu,,,,,,,
41,4,drag_drop,practice,,Pasangkan jumlah dengan angka.,,,,,Cocokkan banyak bintang dengan angka yang tepat.,,,,,,,,,⭐;⭐⭐;⭐⭐⭐;⭐⭐⭐⭐,1;2;3;4,
41,5,essay,practice,,Hitung: ⚽⚽⚽ + ⚽ = ?,,,4,,Tiga bola ditambah satu bola menjadi empat.,,,,,,,,,,,
41,6,mcq,practice,,Bilangan setelah 6 adalah...,,,C,,Setelah 6 adalah 7.,5,6,7,8,,,,,,,
41,7,multipart,practice,,Hitung tiap bagian.,,,,,Jumlahkan atau kurangi sesuai perintah.,,,,,,,,,,,"a|🍌🍌 + 🍌 =|3;b|⭐⭐⭐ - ⭐ =|2;c|Lengkapi: 8,7,__,5|6"
41,8,essay,practice,,"Hitung mundur: 5,4,__,2,1",,,3,,"Urutan mundur 5,4,3,2,1.",,,,,,,,,,,
41,9,mcq,practice,,Pilih yang lebih kecil: 9 atau 6,,,B,,6 lebih kecil dari 9.,9,6,Sama,Tidak tahu,,,,,,,
41,11,essay,practice,,🐟🐟🐟🐟 diambil 1. Sisa?,,,3,,4 ikan dikurangi 1 ikan tersisa 3.,,,,,,,,,,,
41,11,drag_drop,practice,,Pasangkan pasangan bilangan jumlah 5.,,,,,Setiap pasangan harus berjumlah 5.,,,,,,,,,1+4;2+3;0+5;5+1,5;5;5;5,
41,12,mcq,practice,,3 + 4 = ?,,,C,,3 ditambah 4 sama dengan 7.,5,6,7,8,,,,,,,
41,13,essay,practice,,"Lengkapi: __,2,3,4,5",,,1,,Urutan naik mulai dari 1.,,,,,,,,,,,
41,14,multipart,practice,,Hitung tiap bagian.,,,,,Jumlahkan atau kurangi sesuai perintah.,,,,,,,,,,,"a|🍎🍎🍎 + 🍎🍎 =|5;b|8 - 3 =|5;c|Lengkapi: 11,9,__,7|8"
41,15,mcq,practice,,10 - 1 = ?,,,B,,10 dikurangi 1 sama dengan 9.,8,9,11,11,,,,,,,
41,16,essay,practice,,Hitung: 2 + 5 = ?,,,7,,2 ditambah 5 sama dengan 7.,,,,,,,,,,,
41,17,drag_drop,practice,,Pasangkan gambar dengan angka.,,,,,Hitung jumlah kue pada tiap gambar.,,,,,,,,,🍪🍪;🍪🍪🍪🍪;🍪;🍪🍪🍪,2;4;1;3,
41,18,essay,practice,,"Lengkapi: 2,4,6,__,10",,,8,,"Urutan genap: 2,4,6,8,10.",,,,,,,,,,,
