material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
43,1,essay,practice,,🍪🍪🍪🍪🍪 diambil 🍪🍪 → sisa?,,,3,,5 dikurangi 2 = 3.,,,,,,,,,,,
43,2,essay,practice,,7 - 3 = ?,,,4,,7 dikurangi 3 = 4.,,,,,,,,,,,
43,3,essay,practice,,"Lengkapi: 10,9,8,__,6",,,7,,Urutan mundur berkurang 1.,,,,,,,,,,,
43,4,essay,practice,,6 - 6 = ?,,,0,,Bilangan dikurangi dirinya sendiri = 0.,,,,,,,,,,,
43,5,essay,practice,,"Ada 8 🎈, 2 pecah. Sisa?",,,6,,8 - 2 = 6.,,,,,,,,,,,
43,6,essay,practice,,5 - 1 = ?,,,4,,5 dikurangi 1 = 4.,,,,,,,,,,,
43,7,essay,practice,,Pasangan 10: 10 - 7 = ?,,,3,,10 - 7 = 3.,,,,,,,,,,,
43,8,essay,practice,,10 - 4 = ?,,,6,,10 - 4 = 6.,,,,,,,,,,,
43,9,essay,practice,,"Jika 3 + 4 = 7, maka 7 - 3 = ?",,,4,,Hubungan penjumlahan-pengurangan.,,,,,,,,,,,
43,10,essay,practice,,7 - 4 = ?,,,3,,7 dikurangi 4 = 3.,,,,,,,,,,,
43,11,essay,practice,,9 - 1 = ?,,,8,,9 - 1 = 8.,,,,,,,,,,,
43,12,essay,practice,,4 - 2 = ?,,,2,,4 - 2 = 2.,,,,,,,,,,,
43,13,essay,practice,,"Ada 6 anak, 2 pulang. Sisa?",,,4,,6 - 2 = 4.,,,,,,,,,,,
43,14,essay,practice,,10 - 0 = ?,,,10,,Mengurang 0 tidak mengubah bilangan.,,,,,,,,,,,
43,15,essay,practice,,"Lengkapi: 5,4,3,__,1",,,2,,Urutan mundur berkurang 1.,,,,,,,,,,,
43,16,essay,practice,,🧁🧁🧁🧁🧁 diambil 🧁🧁🧁 → sisa?,,,2,,5 - 3 = 2.,,,,,,,,,,,
43,17,mcq,practice,,10 - 8 = ?,,,B,,10 - 8 = 2.,1,2,3,4,,,,,,,
43,18,mcq,practice,,Bilangan sebelum 6 adalah...,,,A,,Sebelum 6 adalah 5.,5,6,7,8,,,,,,,
43,19,mcq,practice,,Mana yang hasilnya 0?,,,C,,4 - 4 = 0.,5-4,6-5,4-4,7-1,,,,,,,
43,20,mcq,practice,,"Jika 2 + 5 = 7, maka 7 - 5 = ?",,,D,,7 - 5 = 2.,3,4,5,2,,,,,,,
43,21,mcq,practice,,8 - 5 = ?,,,B,,8 - 5 = 3.,2,3,4,5,,,,,,,
43,22,mcq,practice,,9 - 6 = ?,,,C,,9 - 6 = 3.,2,4,3,5,,,,,,,
43,23,mcq,practice,,5 - 0 = ?,,,A,,5 - 0 = 5.,5,0,4,6,,,,,,,
43,24,mcq,practice,,Urutan mundur yang benar?,,,B,,Turun satu-satu.,"1,2,3","3,2,1","2,3,1","1,3,2",,,,,,,
