material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
53,1,essay,practice,,Hitung jumlah ikon: 🍎🍎🍎🍎🍎🍎 + 🍌🍌🍌. Berapa semuanya?,,,9,,,,,,,,,,,,,
53,2,essay,practice,,Ada ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐. 6 bintang jatuh. Sisa berapa?,,,4,,,,,,,,,,,,,
53,3,mcq,practice,,Kata yang tepat untuk operasi 18 - 5 adalah...,,,B,,,jumlah,selisih,lebihnya,gabungan,,,,,,,
53,4,drag_drop,practice,,Pasangkan operasi dengan hasilnya.,,,,,,,,,,,,,,12+5;19-7;14-6;9+8,17;12;8;17,
53,5,essay,practice,,Hitung penjumlahan bersusun: 14 + 3 = ...,,,17,,,,,,,,,,,,,
53,6,essay,practice,,Hitung pengurangan bersusun: 18 - 6 = ...,,,12,,,,,,,,,,,,,
53,7,multipart,practice,,Lengkapi hasil penjumlahan dan pengurangan.,,,,,,,,,,,,,,,,a|12+4|16;b|15-7|8;c|11+8|19
53,8,mcq,practice,,Manakah bilangan yang lebih besar?,,,C,,,13,12,15,11,,,,,,,
53,9,essay,practice,,Di meja ada 🧸🧸🧸🧸🧸 dan ⚽⚽⚽⚽. Berapa benda semuanya?,,,9,,,,,,,,,,,,,
53,10,drag_drop,practice,,Pasangkan kata dengan operasinya.,,,,,,,,,,,,,,jumlah;selisih;lebihnya;kurangnya,penjumlahan;pengurangan;penjumlahan;pengurangan,
53,11,essay,practice,,Hitung penjumlahan bersusun: 16 + 2 = ...,,,18,,,,,,,,,,,,,
53,12,mcq,practice,,Bilangan yang tepat untuk 12 + ? = 19 adalah...,,,B,,,5,7,9,6,,,,,,,
