material_id,question_number,question_type,question_mode,prompt,question_text,helper_text,question_image_url,correct_answer,correct_image_url,explanation,option_a,option_b,option_c,option_d,option_a_image_url,option_b_image_url,option_c_image_url,option_d_image_url,drag_items,drop_targets,multipart_items
54,1,essay,practice,,Hitung ikon: 🔺🔺🔺 dan ⬛⬛. Berapa bangun datar semuanya?,,,5,,,,,,,,,,,,,
54,2,mcq,practice,,Yang termasuk segi banyak adalah...,,,B,,,lingkaran,segitiga,bola,kerucut,,,,,,,
54,3,essay,practice,,Bangun datar yang punya 3 sisi bernama...,,,segitiga,,,,,,,,,,,,,
54,4,drag_drop,practice,,Pasangkan bangun dengan jumlah sisinya.,,,,,,,,,,,,,,segitiga;persegi;persegi panjang;segi lima,3;4;4;5,
54,5,mcq,practice,,Yang bukan segi banyak adalah...,,,C,,,segi empat,segi lima,lingkaran,segitiga,,,,,,,
54,6,essay,practice,,Ada 2 segitiga dan 3 persegi. Total bangun datar?,,,5,,,,,,,,,,,,,
54,7,multipart,practice,,Lengkapi nama bangun.,,,,,,,,,,,,,,,,a|Punya 3 sisi|segitiga;b|Punya 4 sisi sama panjang|persegi;c|Tidak punya sisi|lingkaran
54,8,mcq,practice,,Bangun ruang yang punya 8 titik sudut adalah...,,,A,,,kubus,bola,kerucut,tabung,,,,,,,
54,9,essay,practice,,Rambu lalu lintas berbentuk segitiga. Bentuknya adalah...,,,segitiga,,,,,,,,,,,,,
54,10,drag_drop,practice,,Pasangkan bangun ruang dengan cirinya.,,,,,,,,,,,,,,kubus;balok;kerucut;bola,6 sisi sama;6 sisi tidak sama;1 alas 1 puncak;tidak bersisi,
54,11,essay,practice,,Persegi punya berapa sisi?,,,4,,,,,,,,,,,,,
54,12,mcq,practice,,Segi banyak adalah bangun datar yang...,,,D,,,punya sisi lengkung,punya 1 sisi,tidak punya sudut,punya sisi garis lurus,,,,,,,
54,13,essay,practice,,Segi enam memiliki ... sisi.,,,6,,,,,,,,,,,,,
54,14,mcq,practice,,Benda berbentuk bola adalah...,,,B,,,buku,bola sepak,papan tulis,kertas,,,,,,,
54,15,multipart,practice,,Klasifikasi bangun.,,,,,,,,,,,,,,,,a|lingkaran|bukan segi banyak;b|segi tiga|segi banyak;c|segi lima|segi banyak
54,16,essay,practice,,Ayu menyusun 4 persegi kecil menjadi satu bentuk. Berapa persegi kecilnya?,,,4,,,,,,,,,,,,,
