"material_id","question_number","question_type","question_mode","prompt","question_text","helper_text","question_image_url","correct_answer","correct_image_url","explanation","option_a","option_b","option_c","option_d","option_a_image_url","option_b_image_url","option_c_image_url","option_d_image_url","drag_items","drop_targets","multipart_items"
"61","1","pilihan_ganda","practice","Alat ukur paling tepat untuk mengukur panjang pensil adalah ...","","","","A","","","penggaris","meteran gulung","timbangan dapur","stopwatch","","","","","","",""
"61","2","essay","practice","Konversi 275 cm ke meter dan sentimeter.","","","","2 m 75 cm","","","","","","","","","","","","",""
"61","3","multipart","practice","Selesaikan konversi berikut.","","","","","","","","","","","","","","","","","a|1 m 35 cm dalam cm|135;b|480 cm dalam m|4,8;c|7 m dalam cm|700"
"61","4","pilihan_ganda","practice","Dari tabel pada gambar, benda terpanjang adalah ...","","","/images/math3-bab3-pengukuran/q4-panjang-objek.png","D","","","Pensil A","Penghapus","Buku","Meja mini","","","","","","",""
"61","5","essay","practice","Pita 4 m 37 cm disambung dengan 7 m 43 cm. Berapa panjang totalnya?","","","","11 m 80 cm","","","","","","","","","","","","",""
"61","6","pilihan_ganda","practice","Kain 75 m 80 cm dijual 38 m 45 cm. Sisanya adalah ...","","","","C","","","36 m 35 cm","37 m 25 cm","37 m 35 cm","38 m 35 cm","","","","","","",""
"61","7","multipart","practice","Jawab soal panjang kebun.","","","","","","","","","","","","","","","","","a|5000 cm dalam meter|50;b|Jika ditambah 250 cm, panjang baru (m)|52,5;c|Selisih 52 m dengan panjang awal (cm)|200"
"61","8","essay","practice","Seorang siswa mengukur buku tapi mulai dari angka 1 cm dan ujung akhir di 23 cm. Berapa panjang buku sebenarnya?","","","","22 cm","","","","","","","","","","","","",""
"61","9","pilihan_ganda","practice","Pernyataan yang benar adalah ...","","","","B","","","1 cm = 100 mm","1 cm = 10 mm","10 cm = 1 mm","100 cm = 10 m","","","","","","",""
"61","10","multipart","practice","Gunakan data pada gambar.","","","/images/math3-bab3-pengukuran/q10-konversi-cm-m.png","","","","","","","","","","","","","","a|Pita 2 dalam m|2,3;b|Pita mana yang < 1 m|Pita 3;c|Jumlah Pita 1 dan Pita 3 (cm)|240"
"61","11","pilihan_ganda","practice","Untuk mengukur tinggi pintu kelas, alat paling tepat adalah ...","","","","D","","","penggaris 15 cm","jangka","busur derajat","meteran","","","","","","",""
"61","12","essay","practice","Tinggi badan Rina 1 m 32 cm dan Sinta 1 m 25 cm. Berapa selisih tinggi mereka?","","","","7 cm","","","","","","","","","","","","",""
"61","13","multipart","practice","Data tinggi (cm): 132, 128, 135, 130, 128, 140.","","","","","","","","","","","","","","","","","a|Data tertinggi|140;b|Data terendah|128;c|Jangkauan|12"
"61","14","pilihan_ganda","practice","Jika 100 cm = 1 m, maka 2,5 m sama dengan ... cm","","","","A","","","250","205","25","2500","","","","","","",""
"61","15","essay","practice","Ubah 3 m 8 cm menjadi sentimeter.","","","","308 cm","","","","","","","","","","","","",""
"61","16","pilihan_ganda","practice","Pernyataan paling tepat tentang satuan baku berat adalah ...","","","","C","","","pensil sebaiknya ditimbang dengan ton","karung beras sebaiknya dalam gram","g digunakan benda ringan, kg untuk lebih berat","kg lebih kecil dari g","","","","","","",""
"61","17","essay","practice","Konversi 1.753 gram menjadi kg dan gram.","","","","1 kg 753 g","","","","","","","","","","","","",""
"61","18","multipart","practice","Berdasarkan tabel pada gambar, jawab berikut.","","","/images/math3-bab3-pengukuran/q18-berat-bahan.png","","","","","","","","","","","","","","a|Total berat gula + mentega (g)|1250;b|Tepung dalam gram|1250;c|Bahan terberat|Tepung"
"61","19","pilihan_ganda","practice","1 kg sama dengan ... gram","","","","D","","","10","100","500","1000","","","","","","",""
"61","20","essay","practice","Ubah 4 kg 150 g menjadi gram.","","","","4150 g","","","","","","","","","","","","",""
"61","21","pilihan_ganda","practice","Jika berat beras 2 kg 300 g, maka dalam gram adalah ...","","","","B","","","2030","2300","3002","230","","","","","","",""
